Timeline,en_dialogue,hindi_dialogue
"00:01:25,836 --> 00:01:27,920",Ronson's down.,रॉनसन नीचे।
"00:01:28,088 --> 00:01:29,589",He needs medical evac.,उसे चिकित्सकीय निकासी की जरूरत है।
"00:01:29,673 --> 00:01:31,424",M (OVER EARPIECE): Where is it? Is it there?,M (OVER EARPIECE): कहाँ है? क्या यह वहां है?
"00:01:31,508 --> 00:01:32,508",Hard drive's gone.,हार्ड ड्राइव चला गया।
"00:01:33,177 --> 00:01:34,510",M: Are you sure?,M: क्या आपको यकीन है?
"00:01:38,056 --> 00:01:39,474",It's gone. Give me a minute.,वह चला गया। मुझे एक मिनट दो।
"00:01:39,600 --> 00:01:41,517",They must have it. Get after them.,उनके पास होना ही चाहिए। उनके बाद जाओ।
"00:01:46,398 --> 00:01:47,523",I'm stabilizing Ronson.,मैं रॉनसन को स्थिर कर रहा हूं।
"00:01:47,691 --> 00:01:48,858",We don't have the time.,हमारे पास समय नहीं है।
"00:01:48,984 --> 00:01:50,526",I have to stop the bleeding !,मुझे रक्तस्राव को रोकना होगा!
"00:01:51,028 --> 00:01:52,612",Leave him!,उसे छोड़ दो!
"00:02:27,189 --> 00:02:28,648",BOND: Have you got him?,बांड: आप उसे मिल गया है?
"00:02:29,107 --> 00:02:30,608",He's in the black Audi.,वह काली ऑडी में है।
"00:02:31,485 --> 00:02:32,527",What about Ronson?,रॉनसन के बारे में क्या?
"00:02:32,653 --> 00:02:33,694",He's been hit.,वह मारा गया है।
"00:02:34,071 --> 00:02:35,905",We're sending an emergency evacuation squad.,हम भेज रहे हैं आपातकालीन निकासी दस्ते।
"00:02:35,989 --> 00:02:37,615",They'll be too bloody late!,वे बहुत देर से खूनी हो जाएगा!
"00:02:37,908 --> 00:02:38,908",(TIRES SCREECHING),(टायर स्कैनिंग)
"00:02:39,076 --> 00:02:40,284",He's seen us.,उसने हमें देखा है।
"00:02:40,828 --> 00:02:42,829",Medical evac for Ronson five minutes away.,रॉनसन के लिए चिकित्सा निकासी पाँच मिनट दूर।
"00:02:49,336 --> 00:02:51,170",That's all right. You weren't using it.,यह सब ठीक है। आप इसका उपयोग नहीं कर रहे थे।
"00:02:53,590 --> 00:02:55,591","I wasn't using that one, either.","मैं उपयोग नहीं कर रहा था वह एक, या तो।"
"00:03:40,971 --> 00:03:42,305",Keep your head down.,अपना सर नीचे रखो।
"00:03:42,472 --> 00:03:44,015",(GUNFIRE BLASTING),(गैनिफायर ब्लास्टिंग)
"00:04:17,341 --> 00:04:18,466",Just get clear!,बस स्पष्ट हो जाओ!
"00:04:20,427 --> 00:04:22,053","Tanner, which way?","टान्नर, कौन सा रास्ता?"
"00:04:22,179 --> 00:04:23,846",Keep going. I can direct you from here.,बढ़ा चल। मैं आपको यहां से निर्देशित कर सकता हूं।
"00:04:23,972 --> 00:04:25,514",You both know what's at stake here.,आप दोनों जानते हैं यहां क्या दांव पर लगा है।
"00:04:25,641 --> 00:04:27,183",We can't afford to lose that list.,हम बर्दाश्त नहीं कर सकते उस सूची को खोने के लिए।
"00:04:27,309 --> 00:04:28,309","Yes, ma'am.",हां मैम।
"00:04:58,215 --> 00:04:59,465",EVE: Where are they now?,EVE: अब वे कहां हैं?
"00:04:59,549 --> 00:05:02,009",They appear to be on the rooftops of the Grand Bazaar.,वे दिखाई देते हैं छतों पर हो ग्रांड बाजार का।
"00:05:54,062 --> 00:05:56,272",Take a left. There's a bridge. You can cut him off.,बाईं ओर जाओ। एक पुल है। आप उसे काट सकते हैं।
"00:06:27,345 --> 00:06:28,554","Down, sir!","नीचे, सर!"
"00:06:28,972 --> 00:06:30,473",(TRAIN HORN BLARING),(ट्रेन हॉर्न बर्निंग)
"00:06:48,533 --> 00:06:50,409","What happened? They're on the train, ma'am.","क्या हुआ? वे ट्रेन पर हैं, मैडम।"
"00:06:50,494 --> 00:06:51,702",What do you mean on the train?,ट्रेन पर आपका क्या मतलब है?
"00:06:51,828 --> 00:06:53,079","I mean, they're on top of a train.","मेरा मतलब, वे एक ट्रेन के ऊपर हैं।"
"00:06:53,205 --> 00:06:54,622","Well, get after them, for God's sake!","खैर, उनके बाद, भगवान के लिए!"
"00:07:25,195 --> 00:07:26,529",She's going out of range.,वह सीमा से बाहर जा रही है।
"00:07:26,655 --> 00:07:27,988",We've lost tracking. We're blind here.,हमने ट्रैकिंग खो दी है। हम यहां अंधे हैं।
"00:07:28,115 --> 00:07:29,990",What's going on? I'm still with them.,क्या चल रहा है? मैं अब भी उनके साथ हूं।
"00:07:30,117 --> 00:07:32,201","Get me CCTV, satellite, anything !","मुझे सी.सी.टी.वी., उपग्रह, कुछ भी!"
"00:08:22,169 --> 00:08:23,502",M: What was that?,M: वह क्या था?
"00:08:24,087 --> 00:08:25,087",VW Beetles.,वीडब्ल्यू बीटल।
"00:08:25,672 --> 00:08:26,755",I think.,मुझे लगता है।
"00:08:51,781 --> 00:08:54,366",Bond ! He's uncoupling the cars.,बॉन्ड! वह कारों को अनप्लग कर रहा है।
"00:09:32,739 --> 00:09:34,156","M: 007, are you all right?","M: 007, क्या तुम ठीक हो?"
"00:09:34,658 --> 00:09:36,325",Just changing carriages.,बस गाड़ियां बदल रही हैं।
"00:09:38,203 --> 00:09:39,912",What's going on? Report!,क्या चल रहा है? रिपोर्ट good!
"00:09:40,038 --> 00:09:41,747","It's rather hard to explain, ma'am.","बल्कि कठिन है समझाने के लिए, महोदया।"
"00:09:41,998 --> 00:09:43,540",007's still in pursuit.,007 की खोज अभी भी जारी है।
"00:10:48,231 --> 00:10:50,149",Looks like there isn't much more road.,लगता है वहाँ ज्यादा सड़क नहीं है।
"00:10:50,275 --> 00:10:52,234",I don't think I can go any further.,मुझे नहीं लगता कि मैं आगे भी जा सकते हैं।
"00:11:26,770 --> 00:11:28,270",I may have a shot.,मुझे गोली लग सकती है।
"00:11:35,445 --> 00:11:36,612",It's not clean.,यह साफ नहीं है।
"00:11:36,863 --> 00:11:38,364","Repeat, I do not have a clean shot.","दोहराएँ, मेरे पास नहीं है एक साफ शॉट।"
"00:11:45,789 --> 00:11:47,831",There's a tunnel ahead. I'm gonna lose them.,आगे एक सुरंग है। मैं उन्हें खो रहा हूँ।
"00:11:48,083 --> 00:11:49,625",Can you get into a better position?,क्या आप इसमें प्रवेश कर सकते हैं? एक बेहतर स्थिति?
"00:11:49,793 --> 00:11:51,335",Negative. There's no time.,नकारात्मक। समय नहीं है।
"00:11:53,421 --> 00:11:54,463",Take the shot.,शॉट ले लो।
"00:11:56,424 --> 00:11:57,758",I said take the shot.,मैंने कहा शॉट लो।
"00:11:59,386 --> 00:12:00,803",I can't! I may hit Bond.,मैं नहीं कर सकता! मैं बॉन्ड मार सकता हूं।
"00:12:00,970 --> 00:12:02,137",Take the bloody shot!,खूनी गोली ले लो!
"00:12:02,305 --> 00:12:03,305",(GUNSHOT),(गोली)
"00:12:25,370 --> 00:12:26,870",Agent down.,एजेंट नीचे।
"00:13:14,252 --> 00:13:16,753",This is the end,यह अंत है
"00:13:18,840 --> 00:13:23,844",Hold your breath and count to ten,अपनी साँसे थामो और दस तक गिनें
"00:13:25,346 --> 00:13:30,601",Feel the earth move and then,महसूस करें कि पृथ्वी हिल रही है और फिर
"00:13:31,811 --> 00:13:37,858",Hear my heart burst again,मेरा दिल फटते हुए फिर से सुनो
"00:13:39,402 --> 00:13:42,237",For this is the end,इस के लिए अंत है
"00:13:44,240 --> 00:13:49,286",I've drowned and dreamt this moment,मैं डूब गया हूं और इस पल का सपना देखा
"00:13:50,705 --> 00:13:55,918","So overdue, I owe them",अतिदेय मैं उनका कृपा पात्र हूं
"00:13:57,504 --> 00:14:02,674","Swept away, I'm stolen","बहुत अधिक भावुक हो गया, मेरा दिल चोरी हो गया"
"00:14:05,094 --> 00:14:07,971",Let the sky fall,आसमान को टूटने दो
"00:14:08,097 --> 00:14:10,849",When it crumbles,जब यह टुकडें - टुकडें हो जाता है
"00:14:11,351 --> 00:14:14,186",We will stand tall,हम लंबा खड़े होंगे
"00:14:14,270 --> 00:14:16,605",And face it all together,और सब मिलकर इसका सामना करें
"00:14:16,898 --> 00:14:19,066",At Skyfall,परेशान
"00:14:23,404 --> 00:14:26,657",Skyfall is where we start,स्काईफॉल वह जगह है जहां हम शुरू करते हैं
"00:14:29,160 --> 00:14:33,121",A thousand miles and poles apart,हजार मील और डंडे अलग
"00:14:35,542 --> 00:14:39,711",Where worlds collide and days are dark,जहां दुनिया टकराती है और दिन अंधेरे हैं
"00:14:39,796 --> 00:14:42,130",You may have my number,आपके पास मेरा नंबर हो सकता है
"00:14:42,257 --> 00:14:44,007",You can take my name,आप मेरा नाम ले सकते हैं
"00:14:45,176 --> 00:14:49,721",But you'll never have my heart,लेकिन तुम कभी मेरा दिल नहीं लगाओगे
"00:15:11,911 --> 00:15:16,498",And face it all together At Skyfall,और सब मिलकर इसका सामना करें परेशान
"00:15:21,421 --> 00:15:24,172",Where you go I go,जहां आपने जाना है मुझे भी वहीं जाना है
"00:15:24,841 --> 00:15:27,384",What you see I see,"आप जो देख रहे हैं, मैं देख रहा हूं"
"00:15:27,719 --> 00:15:32,889",I know I'd never be me without the security,मुझे पता है कि मैं कभी नहीं बनूंगा बिना सुरक्षा के
"00:15:34,183 --> 00:15:37,227",Of your loving arms,अपनी प्यार भरी भुजाओं का
"00:15:37,645 --> 00:15:40,188",keeping me from harm,नुकसान से मुझे बचाते हुए
"00:15:40,481 --> 00:15:45,152",Put your hand in my hand and we'll stand,अपना हाथ मेरे हाथ में रख दो और हम खड़े रहेंगे
"00:17:45,857 --> 00:17:48,233",It's like being summoned to the headmaster's study.,यह सम्मनित होने जैसा है हेडमास्टर के अध्ययन के लिए।
"00:17:48,359 --> 00:17:50,736",It's a new Chairman. Just standard procedure.,यह एक नया अध्यक्ष है। बस मानक प्रक्रिया।
"00:17:50,862 --> 00:17:52,988",Bloody waste of my time is what I call it.,मेरे खून की बर्बादी समय मैं इसे कहते हैं।
"00:17:53,156 --> 00:17:55,157",I'm sorry to have to deal with such,मुझे माफ करना ऐसे निपटने के लिए
"00:17:55,283 --> 00:17:57,242",a delicate subject at our first encounter.,एक नाजुक विषय है हमारी पहली मुठभेड़।
"00:17:59,996 --> 00:18:01,329","But, um. . .","लेकिन, उम। । ।"
"00:18:01,873 --> 00:18:03,665",I have to be frank with you.,मुझे तुम्हारे साथ फ्रैंक होना है।
"00:18:03,833 --> 00:18:05,834",I think that would be a good idea.,मुझे लगता है कि एक अच्छा विचार होगा।
"00:18:08,880 --> 00:18:10,881",The Prime Minister's concerned.,प्रधान मंत्री का चिंतित।
"00:18:11,674 --> 00:18:14,509","Well, you can tell him my operatives are pursuing every avenue.","खैर, आप उसे बता सकते हैं मेरे गुर्गों हैं हर एवेन्यू का पीछा।"
"00:18:14,677 --> 00:18:16,678",Have you considered pulling out the agents?,क्या तुमने विचार किया है एजेंटों को बाहर निकालना
"00:18:16,763 --> 00:18:18,180",I've considered every option.,मैंने हर विकल्प पर विचार किया है।
"00:18:18,264 --> 00:18:20,599","Forgive me, that sounds like an evasion.","मुझे माफ़ करदो, यह एक चोरी की तरह लगता है।"
"00:18:20,767 --> 00:18:22,684","Forgive me, but why am I here?","मुझे माफ़ करदो, पर मैं यहाँ क्यों हूँ?"
