en_dialogue,Timeline,tamil_dialogue
The woods of Pandora,"00:01:23,709 --> 00:01:25,586",பண்டோரா காடுகள்
they hide many dangers.,"00:01:25,961 --> 00:01:27,838",அவர்கள் பல ஆபத்துக்களை மறைக்கிறார்கள்.
But the most dangerous thing about Pandora is...,"00:01:34,845 --> 00:01:37,139",ஆனால் பண்டோராவைப் பற்றிய மிக ஆபத்தான விஷயம்...
that you may love her too much.,"00:01:41,518 --> 00:01:43,937",நீங்கள் அவளை அதிகமாக நேசிக்கலாம் என்று.
We sing songs to remember.,"00:01:56,783 --> 00:01:58,744",நினைவில் கொள்ள பாடல்களைப் பாடுகிறோம்.
"Each bead, a story in our life.","00:01:59,786 --> 00:02:03,081","ஒவ்வொரு மணியும், நம் வாழ்வில் ஒரு கதை."
Pearl for the birth of our son.,"00:02:04,917 --> 00:02:07,669",எங்கள் மகன் பிறந்ததற்கு முத்து.
I don't care! - I don't care!,"00:02:11,757 --> 00:02:14,843",எனக்கு கவலையில்லை! - நான் கவலைப்படவில்லை!
"Pearl when we adopted our daughter, Kiri.","00:02:22,184 --> 00:02:24,937",நாங்கள் தத்தெடுத்தபோது முத்து எங்கள் மகள் கிரி.
Born by Grace's avatar.,"00:02:26,438 --> 00:02:28,106",கிரேஸின் அவதாரத்தால் பிறந்தவர்.
The daughter whose conception is was a complete mystery.,"00:02:29,191 --> 00:02:31,985",கருவுற்றிருக்கும் மகள் ஒரு முழுமையான மர்மமாக இருந்தது.
Pearl for the first union with Eve.,"00:02:46,166 --> 00:02:48,252",ஏவுடனான முதல் சங்கத்திற்கு முத்து.
"People say, we live in Avey,","00:02:52,214 --> 00:02:54,842","மக்கள் சொல்கிறார்கள், நாங்கள் ஏவியில் வசிக்கிறோம்,"
and Eva lives in us.,"00:02:56,885 --> 00:02:59,137",மற்றும் ஈவா நம்மில் வாழ்கிறார்.
The great mother carries everything your children in your heart.,"00:03:01,557 --> 00:03:05,310",பெரிய தாய் எல்லாவற்றையும் சுமக்கிறாள் உங்கள் குழந்தைகள் உங்கள் இதயத்தில்.
Happiness is simple.,"00:03:14,528 --> 00:03:16,446",மகிழ்ச்சி எளிமையானது.
But who would have thought it would a marine like me hack it?,"00:03:18,115 --> 00:03:20,993",ஆனால் யார் நினைத்திருப்பார்கள் என்னைப் போன்ற ஒரு கடற்படை அதை ஹேக் செய்கிறதா?
"When I met your father, I tried to kill him.","00:03:23,996 --> 00:03:28,500","நான் உங்கள் தந்தையை சந்தித்தபோது, அவரைக் கொல்ல முயன்றேன்."
It was love at first sight.,"00:03:28,625 --> 00:03:30,919",அது முதல் பார்வையில் காதல்.
"In an hour, we had four.","00:03:31,044 --> 00:03:32,921","ஒரு மணி நேரத்தில், நாங்கள் நான்கு பேர்."
When we sent the Heavenly People back to earth,"00:03:36,717 --> 00:03:39,052",நாம் பரலோக மக்களை அனுப்பியபோது மீண்டும் பூமிக்கு
a few of them remained.,"00:03:39,178 --> 00:03:41,054",அவற்றில் சில எஞ்சியிருந்தன.
"Scientists, loyal to the Na'vi.","00:03:41,138 --> 00:03:44,433","விஞ்ஞானிகள், நவிக்கு விசுவாசமானவர்கள்."
And then there was Spider.,"00:03:44,850 --> 00:03:46,727",பின்னர் ஸ்பைடர் இருந்தது.
He's stuck here. Too young for a cryo-capsule.,"00:03:47,019 --> 00:03:49,730",அவர் இங்கே மாட்டிக்கொண்டார். கிரையோ-காப்ஸ்யூலுக்கு மிகவும் இளமையாக உள்ளது.
"You little beast. - See you, Norm!","00:03:49,855 --> 00:03:52,357","நீ சிறிய மிருகம். - சந்திப்போம், நார்ம்!"
"war orphan, which were raised by people from the laboratory.","00:03:52,399 --> 00:03:54,818","போர் அனாதை, ஆய்வகத்திலிருந்து மக்களால் எழுப்பப்பட்டவை."
