Timeline,en_dialogue,tamil_dialogue
"00:01:25,836 --> 00:01:27,920",Ronson's down.,ரான்சன் கீழே.
"00:01:28,088 --> 00:01:29,589",He needs medical evac.,அவருக்கு மருத்துவ உதவி தேவை.
"00:01:29,673 --> 00:01:31,424",M (OVER EARPIECE): Where is it? Is it there?,எம் (ஓவர் ஏர்பீஸ்): அது எங்கே? அது இருக்கிறதா?
"00:01:31,508 --> 00:01:32,508",Hard drive's gone.,ஹார்ட் டிரைவ் போய்விட்டது.
"00:01:33,177 --> 00:01:34,510",M: Are you sure?,எம்: நீங்கள் உறுதியாக இருக்கிறீர்களா?
"00:01:38,056 --> 00:01:39,474",It's gone. Give me a minute.,அது போய்விட்டது. எனக்கு ஒரு நிமிடம் கொடுங்கள்.
"00:01:39,600 --> 00:01:41,517",They must have it. Get after them.,அவர்கள் அதை வைத்திருக்க வேண்டும். அவர்களைப் பின்தொடரவும்.
"00:01:46,398 --> 00:01:47,523",I'm stabilizing Ronson.,நான் ரான்சனை நிலைப்படுத்துகிறேன்.
"00:01:47,691 --> 00:01:48,858",We don't have the time.,எங்களுக்கு நேரம் இல்லை.
"00:01:48,984 --> 00:01:50,526",I have to stop the bleeding !,நான் இரத்தப்போக்கு நிறுத்த வேண்டும்!
"00:01:51,028 --> 00:01:52,612",Leave him!,அவனை விடு!
"00:02:27,189 --> 00:02:28,648",BOND: Have you got him?,பாண்ட்: நீங்கள் அவரைப் பெற்றீர்களா?
"00:02:29,107 --> 00:02:30,608",He's in the black Audi.,அவர் கருப்பு ஆடியில் இருக்கிறார்.
"00:02:31,485 --> 00:02:32,527",What about Ronson?,ரான்சன் பற்றி என்ன?
"00:02:32,653 --> 00:02:33,694",He's been hit.,அவர் தாக்கப்பட்டுள்ளார்.
"00:02:34,071 --> 00:02:35,905",We're sending an emergency evacuation squad.,அனுப்புகிறோம் ஒரு அவசரநிலை வெளியேற்றும் படை.
"00:02:35,989 --> 00:02:37,615",They'll be too bloody late!,அவர்கள் மிகவும் தாமதமாக வருவார்கள்!
"00:02:37,908 --> 00:02:38,908",(TIRES SCREECHING),(டயர்கள் ஸ்க்ரீச்சிங்)
"00:02:39,076 --> 00:02:40,284",He's seen us.,அவர் எங்களைப் பார்த்தார்.
"00:02:40,828 --> 00:02:42,829",Medical evac for Ronson five minutes away.,ரான்சனுக்கு மருத்துவ உதவி ஐந்து நிமிட தூரத்தில்.
"00:02:49,336 --> 00:02:51,170",That's all right. You weren't using it.,அதெல்லாம் சரிதான். நீங்கள் அதைப் பயன்படுத்தவில்லை.
"00:02:53,590 --> 00:02:55,591","I wasn't using that one, either.","நான் பயன்படுத்தவில்லை ஒன்று, ஒன்று."
"00:03:40,971 --> 00:03:42,305",Keep your head down.,உங்கள் தலையை கீழே வைத்திருங்கள்.
"00:03:42,472 --> 00:03:44,015",(GUNFIRE BLASTING),(துப்பாக்கி வெடித்தல்)
