Timeline,en_dialogue,bengali_dialogue
"00:03:02,057 --> 00:03:04,016",She looks at me every day.,তিনি প্রতিদিন আমার দিকে তাকান।
"00:03:04,184 --> 00:03:05,977",Mary jane Watson.,মেরি জেন ​​ওয়াটসন।
"00:03:06,144 --> 00:03:10,189","Oh, boy. lf she only knew how l felt about her.","ওহ, ছেলে। সে শুধু জানত আমি কিভাবে তার সম্পর্কে অনুভূত।"
"00:03:10,357 --> 00:03:12,149",But she can never know.,কিন্তু সে কখনো জানতে পারে না।
"00:03:12,317 --> 00:03:15,778",I made a choice once to live a life of responsibility.,আমি বাস একবার একটি পছন্দ করেছেন দায়িত্ব একটি জীবন।
"00:03:15,946 --> 00:03:18,239",A life she can never be a part of.,একটি জীবন তিনি একটি অংশ হতে পারে না।
"00:03:18,407 --> 00:03:19,699",Who am I?,আমি কে?
"00:03:19,867 --> 00:03:22,451","I'm Spider-Man, given a job to do.","আমি স্পাইডার-ম্যান, একটি কাজ দেওয়া।"
"00:03:22,619 --> 00:03:25,621","And l'm Peter Parker, and I, too, have a job.","এবং আমি পিটার পার্কার, এবং আমি, খুব, একটি কাজ আছে।"
"00:03:25,789 --> 00:03:27,373",Parker. Parker!,পার্কার। পার্কার!
"00:03:27,833 --> 00:03:29,792","No, no, no, stop! Stop!","না, না, না, থামো! বন্ধ করুন!"
"00:03:31,211 --> 00:03:33,880","Parker, you're late, man. Always late.","পার্কার, তুমি দেরী, মানুষ। সবসময় দেরী."
"00:03:34,047 --> 00:03:36,966","I'm sorry, Mr. Aziz. There was a disturbance.","আমি দুঃখিত, মি। আজিজ। একটি ঝামেলা ছিল।"
"00:03:37,134 --> 00:03:39,427",Another disturbance. Always a disturbance with you.,অন্য ঝামেলা। সর্বদা আপনার সাথে একটি ঝামেলা।
"00:03:39,595 --> 00:03:42,388","Come on, 21 minutes ago, in comes order.","আসুন, 21 মিনিট আগে, আদেশ আসে।"
"00:03:42,556 --> 00:03:46,142","Harmattan, Burton and Smith. Eight extra-large deep-dish pizzas.","হারমান্টন, বার্টন এবং স্মিথ। আট অতিরিক্ত বড় গভীর থালা pizzas।"
"00:03:46,310 --> 00:03:49,186","In eight minutes, I am defaulting on Joe's 29-minute guarantee.","আট মিনিটের মধ্যে, আমি ডিফল্ট করছি জো এর 29 মিনিটের গ্যারান্টি।"
"00:03:49,354 --> 00:03:52,315","Then, not only am I receiving no money for these pizzas...","তারপর, আমি গ্রহণ করছি না এই pizzas জন্য কোন টাকা ..."
"00:03:52,482 --> 00:03:55,151",...but l will lose the customer forever to Pizza Yurt.,... কিন্তু আমি চিরদিন গ্রাহক হারাবো পিজা ইয়ার্ট যাও।
"00:03:55,319 --> 00:03:58,696","Look, you are my only hope, all right? You have to make it in time.","দেখো, তুমি আমার একমাত্র আশা, ঠিক আছে? আপনি সময় এটি করতে হবে।"
"00:03:58,864 --> 00:04:02,617","Peter, you're a nice guy. But you're just not dependable.","পিটার, তুমি একটা চমৎকার লোক। কিন্তু আপনি শুধু নির্ভরযোগ্য না।"
"00:04:02,993 --> 00:04:04,827",This is your last chance.,এই আপনার শেষ সুযোগ।
"00:04:04,995 --> 00:04:09,749",You have to go 42 blocks in 7 1/2 minutes or your ass is fired.,আপনি 42 ব্লক যেতে হবে 7 1/2 মিনিটে বা আপনার গাধা বহিস্কার করা হয়।
"00:04:11,460 --> 00:04:13,336",Go!,যান!
"00:04:35,609 --> 00:04:37,193","Hey, what, are you stupid?","আরে, তুমি কি বোকা?"
"00:04:59,132 --> 00:05:02,301",Whoa! He stole that guy's pizzas!,ওহো! সে সেই লোকের পিজ্জা চুরি করল!
"00:05:11,019 --> 00:05:12,603",I'm gonna get it!,আমি এটা পেতে যাচ্ছি!
"00:05:28,245 --> 00:05:30,579","Hey, you guys. No playing in the streets.",আরে আপনাকে বলছি. কোন রাস্তায় বাজানো।
"00:05:30,747 --> 00:05:31,998","Yes, Mr. Spider-Man.","হ্যাঁ, মি। স্পাইডার-ম্যান।"
"00:05:32,290 --> 00:05:33,958",See you.,দেখা হবে.
"00:05:35,127 --> 00:05:36,419","Way to go, Spidey!","যেতে হবে, স্পাইডি!"
"00:06:29,306 --> 00:06:31,182",Pizza time.,পিজা সময়।
"00:06:35,937 --> 00:06:37,521",You're late.,আপনি দেরি করে ফেলেছেন.
"00:06:38,482 --> 00:06:39,815",I'm not paying for those.,আমি তাদের জন্য পরিশোধ করছি না।
"00:06:57,959 --> 00:06:59,835","Joe's 29-minute guarantee is a promise, man.","জো এর 29 মিনিটের গ্যারান্টি একটি প্রতিশ্রুতি, মানুষ।"
"00:07:03,673 --> 00:07:08,177","I know to you, Parker, a promise means nothing. But to me, it's serious.","আমি জানি, পার্কার, একটা প্রতিশ্রুতি কিছুই মানে। কিন্তু আমার কাছে এটা গুরুতর।"
"00:07:08,845 --> 00:07:10,805","It's serious to me too, Mr. Aziz.","এটাও আমার জন্য গুরুতর, মিঃ আজিজ।"
"00:07:10,972 --> 00:07:13,474","-You're fired. Go. -Please, l need this job.","-আপনি বহিষ্কৃত. যান। - দয়া করে, আমি এই কাজ প্রয়োজন।"
"00:07:13,642 --> 00:07:16,185","-You're fired. -Look, give me another chance.","-আপনি বহিষ্কৃত. দেখো, আমাকে আরেকটা সুযোগ দাও।"
"00:07:23,276 --> 00:07:24,610",You're fired.,আপনি বহিষ্কৃত.
"00:07:24,945 --> 00:07:26,946","-Parker, hello. You're fired. -Why?","- পার্কার, হ্যালো। আপনি বহিষ্কৃত. -Why?"
"00:07:27,113 --> 00:07:28,614",Dogs catching Frisbees?,Frisbees ধরা কুকুর?
"00:07:28,782 --> 00:07:31,116",Pigeons in the park? A couple geezers playing chess?,পার্কের কবুতর? একটি দম্পতি geezers দাবা খেলা?
"00:07:31,284 --> 00:07:32,493",-Boss. -Not now.,-Boss। -এখন না.
"00:07:32,661 --> 00:07:35,412",The Bugle could show another side of New York for a change.,Bugle অন্য দিকে প্রদর্শন করতে পারে পরিবর্তন জন্য নিউ ইয়র্ক এর।
"00:07:35,580 --> 00:07:38,499","We got six minutes to deadline, Jonah. We need page one.",ইউনাইটেডের ছয় মিনিট আমরা শেষ করেছি! আমরা এক পৃষ্ঠা প্রয়োজন।
"00:07:38,667 --> 00:07:42,086",I don't pay you to be a sensitive artiste. I pay you-- Still not now!,আমি আপনাকে একটি সংবেদনশীল শিল্পী হতে দিতে না। আমি তোমাকে টাকা দিচ্ছি - এখনও না!
"00:07:42,254 --> 00:07:44,839",I pay you because that psycho Spider-Man will pose for you.,আমি আপনাকে কারণ যে psycho দিতে স্পাইডার-ম্যান আপনার জন্য জাহির করা হবে।
"00:07:45,006 --> 00:07:46,757",He won't let me take any more pictures.,সে আমাকে নিতে দেবে না আরো ছবি।
"00:07:46,925 --> 00:07:48,509",You turned the whole city against him.,আপনি পুরো শহর পরিণত তার বিরুদ্ধে.
"00:07:48,677 --> 00:07:50,177",A fact l'm very proud of.,একটি সত্য আমি খুব গর্বিত।
"00:07:50,345 --> 00:07:54,139",Get your pretty little portfolio off my desk before I go into a diabetic coma.,আমার বন্ধ একটু সুন্দর পোর্টফোলিও পান আমি ডায়াবেটিক কোমা মধ্যে যেতে আগে ডেস্ক।
"00:07:54,307 --> 00:07:57,643","-lt's your wife, she lost her checkbook. -Thanks for the good news.","- তোমার স্ত্রী, সে তার চেকবই হারিয়ে গেছে। - ভাল খবর জন্য ধন্যবাদ।"
"00:07:57,811 --> 00:08:01,146","Please, isn't there any of these shots you can use? I need the money.","দয়া করে, এই শট কোন আছে না তুমি ব্যবহার করতে পার? আমার টাকাটা দরকার."
"00:08:02,524 --> 00:08:04,358",Miss Brant. Get me a violin.,মিস ব্রান্ট। আমাকে একটি লঙ্ঘন পান।
"00:08:04,526 --> 00:08:06,235","Five minutes to deadline, Jonah.","পাঁচ মিনিট সময়সীমা, ইউনূস।"
"00:08:06,403 --> 00:08:09,113",Run a picture of a rancid chicken. Here's the headline:,একটি rancid মুরগীর একটি ছবি চালান। এখানে শিরোনাম:
"00:08:09,281 --> 00:08:11,156","""Food Poisoning Scare Sweeps City.""","""খাদ্য বিষাক্ত ভয়ঙ্কর Sweeps সিটি।"""
"00:08:11,324 --> 00:08:13,659",-Some food got poisoned? -l'm a little nauseous.,কিছু খাবার বিষাক্ত হয়ে গেছে? আমি একটু বিরক্তিকর।
"00:08:13,827 --> 00:08:15,661","All right, Mr. Jameson.","ঠিক আছে, মিঃ জেমসন।"
"00:08:17,372 --> 00:08:19,540","It stinks. Robbie, there's your page one.","এটা অপ্রীতিকর. রবি, আপনার পেজ এক।"
"00:08:19,708 --> 00:08:21,333","""Masked Menace Terrorizes Town.""","""মাস্কেড মেনেস টাউন সন্ত্রাস।"""
"00:08:21,501 --> 00:08:23,085","I told you, he's not a menace.","আমি তোমাকে বলেছিলাম, সে কোন বিপদ নয়।"
"00:08:23,253 --> 00:08:24,837",-l told you-- -l'll take care of it.,- তোমাকে বললাম-- - এটা যত্ন নিতে হবে।
"00:08:25,005 --> 00:08:26,672",-l'll give you 150. -Three hundred.,তোমাকে 150 দেবে। -তিনশত.
"00:08:27,048 --> 00:08:28,340",That's outrageous.,এটা অসম্মানজনক।
"00:08:28,508 --> 00:08:30,467",Done. Give this to the girl.,সম্পন্ন. এই মেয়ে দিতে।
"00:08:30,635 --> 00:08:31,844",Thank you. Bye-bye.,ধন্যবাদ. বাই-বাই।
"00:08:32,304 --> 00:08:33,804",Hi.,হাই।
"00:08:34,014 --> 00:08:35,472","Hey, Pete.","আরে, পিট।"
"00:08:38,435 --> 00:08:42,271",I don't think this covers the advance I gave you a couple weeks ago.,আমি এই আগাম আচ্ছাদিত মনে করি না আমি আপনাকে কয়েক সপ্তাহ আগে দিয়েছেন।
"00:08:42,606 --> 00:08:44,565",-Right. -Sorry.,-Right। -Sorry।
"00:08:45,775 --> 00:08:47,026",Hey.,আরে।
