en_dialogue,Timeline,telugu_dialogue
The woods of Pandora,"00:01:23,709 --> 00:01:25,586",పండోర అడవులు
they hide many dangers.,"00:01:25,961 --> 00:01:27,838",వారు చాలా ప్రమాదాలను దాచిపెడతారు.
But the most dangerous thing about Pandora is...,"00:01:34,845 --> 00:01:37,139",కానీ పండోరలో అత్యంత ప్రమాదకరమైన విషయం ఏమిటంటే...
that you may love her too much.,"00:01:41,518 --> 00:01:43,937",మీరు ఆమెను ఎక్కువగా ప్రేమించవచ్చు.
We sing songs to remember.,"00:01:56,783 --> 00:01:58,744",గుర్తుంచుకోవడానికి పాటలు పాడతాం.
"Each bead, a story in our life.","00:01:59,786 --> 00:02:03,081","ప్రతి పూస, మన జీవితంలో ఒక కథ."
Pearl for the birth of our son.,"00:02:04,917 --> 00:02:07,669",మా కొడుకు పుట్టినందుకు ముత్యం.
I don't care! - I don't care!,"00:02:11,757 --> 00:02:14,843",నేను పట్టించుకోను! - నేను పట్టించుకోను!
"Pearl when we adopted our daughter, Kiri.","00:02:22,184 --> 00:02:24,937",మేము దత్తత తీసుకున్నప్పుడు ముత్యం మా కూతురు కిరీ.
Born by Grace's avatar.,"00:02:26,438 --> 00:02:28,106",గ్రేస్ అవతార్ ద్వారా జన్మించారు.
The daughter whose conception is was a complete mystery.,"00:02:29,191 --> 00:02:31,985",కాన్పు అయిన కూతురు పూర్తి రహస్యంగా ఉంది.
Pearl for the first union with Eve.,"00:02:46,166 --> 00:02:48,252",ఈవ్ తో మొదటి యూనియన్ కోసం పెర్ల్.
"People say, we live in Avey,","00:02:52,214 --> 00:02:54,842","ప్రజలు అంటున్నారు, మేము అవేలో నివసిస్తున్నాము,"
and Eva lives in us.,"00:02:56,885 --> 00:02:59,137",మరియు ఎవా మనలో నివసిస్తుంది.
The great mother carries everything your children in your heart.,"00:03:01,557 --> 00:03:05,310",గొప్ప తల్లి ప్రతిదీ మోస్తుంది మీ హృదయంలో మీ పిల్లలు.
Happiness is simple.,"00:03:14,528 --> 00:03:16,446",ఆనందం సులభం.
But who would have thought it would a marine like me hack it?,"00:03:18,115 --> 00:03:20,993",అయితే ఎవరు అనుకున్నారు నాలాంటి నావికుడు దాన్ని హ్యాక్ చేశాడా?
"When I met your father, I tried to kill him.","00:03:23,996 --> 00:03:28,500",నేను మీ నాన్నను కలిసినప్పుడు.. అతన్ని చంపడానికి ప్రయత్నించాను.
It was love at first sight.,"00:03:28,625 --> 00:03:30,919",ఇది మొదటి చూపులోనే ప్రేమ.
"In an hour, we had four.","00:03:31,044 --> 00:03:32,921","ఒక గంటలో, మాకు నాలుగు వచ్చాయి."
When we sent the Heavenly People back to earth,"00:03:36,717 --> 00:03:39,052",మేము స్వర్గపు ప్రజలను పంపినప్పుడు తిరిగి భూమికి
a few of them remained.,"00:03:39,178 --> 00:03:41,054",వాటిలో కొన్ని మిగిలాయి.
"Scientists, loyal to the Na'vi.","00:03:41,138 --> 00:03:44,433","శాస్త్రవేత్తలు, నవీకి విధేయులు."
And then there was Spider.,"00:03:44,850 --> 00:03:46,727",ఆపై స్పైడర్ వచ్చింది.
He's stuck here. Too young for a cryo-capsule.,"00:03:47,019 --> 00:03:49,730",అతను ఇక్కడ ఇరుక్కుపోయాడు. క్రయో-క్యాప్సూల్ కోసం చాలా చిన్న వయస్సు.
"You little beast. - See you, Norm!","00:03:49,855 --> 00:03:52,357","మీరు చిన్న మృగం. - కలుద్దాం, నార్మ్!"
"war orphan, which were raised by people from the laboratory.","00:03:52,399 --> 00:03:54,818","యుద్ధం అనాథ, ప్రయోగశాల నుండి ప్రజలు పెంచినవి."
"Spider, get a spare! - I'm only going to the village!","00:03:54,860 --> 00:03:57,154","స్పైడర్, విడి పొందండి! - నేను గ్రామానికి మాత్రమే వెళ్తున్నాను!"
He was not part of our family.,"00:03:58,697 --> 00:04:00,469",అతను మా కుటుంబంలో భాగం కాదు.
He was like a stray cat.,"00:04:00,504 --> 00:04:02,242",అతను వీధి పిల్లిలా ఉన్నాడు.
Always there somewhere.,"00:04:02,284 --> 00:04:04,119",ఎప్పుడూ ఎక్కడో అక్కడే.
Inseparable from our children.,"00:04:04,786 --> 00:04:06,663",మా పిల్లల నుండి విడదీయరానిది.
"For Neytiri, he will always be a stranger.","00:04:10,375 --> 00:04:13,670","నెయిటిరి కోసం, అతను ఎప్పుడూ అపరిచితుడిగా ఉంటాడు."
One of them.,"00:04:13,795 --> 00:04:15,339",వాటిలో ఒకటి.
He belongs with his kind.,"00:04:15,422 --> 00:04:17,925",అతను తన రకానికి చెందినవాడు.
He's mine! I took it first.,"00:04:22,429 --> 00:04:24,640",అతను నావాడు! నేను మొదట తీసుకున్నాను.
Why should I leave it to you? -He's mine! - It took me several years,"00:04:24,723 --> 00:04:27,726",నేనెందుకు నీకే వదిలేయాలి? -అతను నావాడు! - ఇది నాకు చాలా సంవత్సరాలు పట్టింది
let my tongue enter my head.,"00:04:27,768 --> 00:04:29,268",నా నాలుక నా తలలోకి ప్రవేశించనివ్వండి.
"Lo'ak, liar! Give it to me! - But now that I hear him,","00:04:29,269 --> 00:04:31,204","లోక్, అబద్ధాలకోరు! నాకు ఇవ్వండి! - కానీ ఇప్పుడు నేను అతనిని విన్నాను,"
it comes to me like native. -I hate you!,"00:04:31,371 --> 00:04:33,857",అది స్థానికంగా నాకు వస్తుంది. - నేను నిన్ను ద్వేషిస్తున్నాను!
"I hate you endlessly, Lo'ak! Penisolics!","00:04:34,816 --> 00:04:38,695","నేను నిన్ను అనంతంగా ద్వేషిస్తున్నాను, లోక్! పెనిసోలిక్స్!"
