en_dialogue,Timeline,kannada_dialogue
The woods of Pandora,"00:01:23,709 --> 00:01:25,586",ಪಂಡೋರಾದ ಕಾಡಿನಲ್ಲಿ
they hide many dangers.,"00:01:25,961 --> 00:01:27,838",ಅವರು ಅನೇಕ ಅಪಾಯಗಳನ್ನು ಮರೆಮಾಡುತ್ತಾರೆ.
But the most dangerous thing about Pandora is...,"00:01:34,845 --> 00:01:37,139",ಆದರೆ ಪಂಡೋರಾ ಬಗ್ಗೆ ಅತ್ಯಂತ ಅಪಾಯಕಾರಿ ವಿಷಯವೆಂದರೆ ...
that you may love her too much.,"00:01:41,518 --> 00:01:43,937",ನೀವು ಅವಳನ್ನು ತುಂಬಾ ಪ್ರೀತಿಸಬಹುದು.
We sing songs to remember.,"00:01:56,783 --> 00:01:58,744",ನೆನಪಿಟ್ಟುಕೊಳ್ಳಲು ನಾವು ಹಾಡುಗಳನ್ನು ಹಾಡುತ್ತೇವೆ.
"Each bead, a story in our life.","00:01:59,786 --> 00:02:03,081","ಪ್ರತಿಯೊಂದು ಮಣಿ, ನಮ್ಮ ಜೀವನದಲ್ಲಿ ಒಂದು ಕಥೆ."
Pearl for the birth of our son.,"00:02:04,917 --> 00:02:07,669",ನಮ್ಮ ಮಗನ ಜನನಕ್ಕಾಗಿ ಮುತ್ತು.
I don't care! - I don't care!,"00:02:11,757 --> 00:02:14,843",ನಾನು ಹೆದರುವುದಿಲ್ಲ! - ನಾನು ಹೆದರುವುದಿಲ್ಲ!
"Pearl when we adopted our daughter, Kiri.","00:02:22,184 --> 00:02:24,937","ನಾವು ದತ್ತು ಪಡೆದಾಗ ಮುತ್ತು ನಮ್ಮ ಮಗಳು, ಕಿರಿ."
Born by Grace's avatar.,"00:02:26,438 --> 00:02:28,106",ಗ್ರೇಸ್ ಅವತಾರ್ ಜನನ.
The daughter whose conception is was a complete mystery.,"00:02:29,191 --> 00:02:31,985",ಅವರ ಪರಿಕಲ್ಪನೆ ಮಗಳು ಸಂಪೂರ್ಣ ರಹಸ್ಯವಾಗಿತ್ತು.
Pearl for the first union with Eve.,"00:02:46,166 --> 00:02:48,252",ಈವ್ ಜೊತೆಗಿನ ಮೊದಲ ಒಕ್ಕೂಟಕ್ಕಾಗಿ ಪರ್ಲ್.
"People say, we live in Avey,","00:02:52,214 --> 00:02:54,842","ಜನರು ಹೇಳುತ್ತಾರೆ, ನಾವು ಅವೆನಲ್ಲಿ ವಾಸಿಸುತ್ತೇವೆ,"
and Eva lives in us.,"00:02:56,885 --> 00:02:59,137",ಮತ್ತು ಇವಾ ನಮ್ಮಲ್ಲಿ ವಾಸಿಸುತ್ತಾನೆ.
The great mother carries everything your children in your heart.,"00:03:01,557 --> 00:03:05,310",ಮಹಾನ್ ತಾಯಿ ಎಲ್ಲವನ್ನೂ ಒಯ್ಯುತ್ತಾರೆ ನಿಮ್ಮ ಹೃದಯದಲ್ಲಿ ನಿಮ್ಮ ಮಕ್ಕಳು.
Happiness is simple.,"00:03:14,528 --> 00:03:16,446",ಸಂತೋಷವು ಸರಳವಾಗಿದೆ.
But who would have thought it would a marine like me hack it?,"00:03:18,115 --> 00:03:20,993",ಆದರೆ ಅದು ಯಾರು ಎಂದು ಭಾವಿಸಿದ್ದರು ನನ್ನಂತಹ ಸಾಗರ ಅದನ್ನು ಹ್ಯಾಕ್?
"When I met your father, I tried to kill him.","00:03:23,996 --> 00:03:28,500","ನಾನು ನಿಮ್ಮ ತಂದೆಯನ್ನು ಭೇಟಿಯಾದಾಗ, ನಾನು ಅವನನ್ನು ಕೊಲ್ಲಲು ಪ್ರಯತ್ನಿಸಿದೆ."
It was love at first sight.,"00:03:28,625 --> 00:03:30,919",ಇದು ಮೊದಲ ನೋಟದಲ್ಲೇ ಪ್ರೀತಿ.
"In an hour, we had four.","00:03:31,044 --> 00:03:32,921","ಒಂದು ಗಂಟೆಯಲ್ಲಿ, ನಮಗೆ ನಾಲ್ಕು ಇತ್ತು."
When we sent the Heavenly People back to earth,"00:03:36,717 --> 00:03:39,052",ನಾವು ಸ್ವರ್ಗೀಯ ಜನರನ್ನು ಕಳುಹಿಸಿದಾಗ ಭೂಮಿಗೆ ಹಿಂತಿರುಗಿ
a few of them remained.,"00:03:39,178 --> 00:03:41,054",ಅವುಗಳಲ್ಲಿ ಕೆಲವು ಉಳಿದಿವೆ.
"Scientists, loyal to the Na'vi.","00:03:41,138 --> 00:03:44,433","ವಿಜ್ಞಾನಿಗಳು, ನಾವಿಗೆ ನಿಷ್ಠರಾಗಿರುತ್ತಾರೆ."
And then there was Spider.,"00:03:44,850 --> 00:03:46,727",ತದನಂತರ ಸ್ಪೈಡರ್ ಇತ್ತು.
He's stuck here. Too young for a cryo-capsule.,"00:03:47,019 --> 00:03:49,730",ಅವನು ಇಲ್ಲಿ ಸಿಲುಕಿಕೊಂಡಿದ್ದಾನೆ. ಕ್ರಯೋ-ಕ್ಯಾಪ್ಸುಲ್ಗಾಗಿ ತುಂಬಾ ಚಿಕ್ಕವರು.
"You little beast. - See you, Norm!","00:03:49,855 --> 00:03:52,357","ನೀವು ಸ್ವಲ್ಪ ಮೃಗ. - ನಿಮ್ಮನ್ನು ನೋಡಿ, ನಾರ್ಮ್!"
"war orphan, which were raised by people from the laboratory.","00:03:52,399 --> 00:03:54,818","ಯುದ್ಧ ಅನಾಥ, ಇವುಗಳನ್ನು ಪ್ರಯೋಗಾಲಯದ ಜನರು ಬೆಳೆಸಿದರು."
"Spider, get a spare! - I'm only going to the village!","00:03:54,860 --> 00:03:57,154","ಸ್ಪೈಡರ್, ಬಿಡಿ ಪಡೆಯಿರಿ! - ನಾನು ಹಳ್ಳಿಗೆ ಮಾತ್ರ ಹೋಗುತ್ತಿದ್ದೇನೆ!"
He was not part of our family.,"00:03:58,697 --> 00:04:00,469",ಅವರು ನಮ್ಮ ಕುಟುಂಬದ ಭಾಗವಾಗಿರಲಿಲ್ಲ.
