Timeline,en_dialogue,bengali_dialogue
"00:01:23,709 --> 00:01:25,586",The woods of Pandora,প্যান্ডোরার কাঠ
"00:01:25,961 --> 00:01:27,838",they hide many dangers.,তারা অনেক বিপদ লুকিয়ে রাখে।
"00:01:34,845 --> 00:01:37,139",But the most dangerous thing about Pandora is...,কিন্তু প্যান্ডোরা সম্পর্কে সবচেয়ে বিপজ্জনক জিনিস হল...
"00:01:41,518 --> 00:01:43,937",that you may love her too much.,যাতে আপনি তাকে খুব ভালোবাসতে পারেন।
"00:01:56,783 --> 00:01:58,744",We sing songs to remember.,আমরা মনে রাখার জন্য গান গাই।
"00:01:59,786 --> 00:02:03,081","Each bead, a story in our life.","প্রতিটি পুঁতি, আমাদের জীবনের একটি গল্প।"
"00:02:04,917 --> 00:02:07,669",Pearl for the birth of our son.,আমাদের ছেলের জন্মের জন্য মুক্তা।
"00:02:11,757 --> 00:02:14,843",I don't care! - I don't care!,আমি পাত্তা দিই না! - আমি পাত্তা দিই না!
"00:02:22,184 --> 00:02:24,937","Pearl when we adopted our daughter, Kiri.","মুক্তা যখন আমরা দত্তক নিয়েছিলাম আমাদের মেয়ে, কিরি।"
"00:02:26,438 --> 00:02:28,106",Born by Grace's avatar.,গ্রেস এর অবতার দ্বারা জন্ম.
"00:02:29,191 --> 00:02:31,985",The daughter whose conception is was a complete mystery.,কন্যা যার গর্ভধারণ একটি সম্পূর্ণ রহস্য ছিল।
"00:02:46,166 --> 00:02:48,252",Pearl for the first union with Eve.,ইভের সাথে প্রথম মিলনের জন্য মুক্তা।
"00:02:52,214 --> 00:02:54,842","People say, we live in Avey,","লোকে বলে, আমরা আভেতে থাকি,"
"00:02:56,885 --> 00:02:59,137",and Eva lives in us.,এবং ইভা আমাদের মধ্যে বাস করে।
"00:03:01,557 --> 00:03:05,310",The great mother carries everything your children in your heart.,মহান মা সবকিছু বহন করে আপনার হৃদয়ে আপনার সন্তান।
"00:03:14,528 --> 00:03:16,446",Happiness is simple.,সুখ সহজ।
"00:03:18,115 --> 00:03:20,993",But who would have thought it would a marine like me hack it?,কিন্তু তা হবে কে ভেবেছিল আমার মত একজন সামুদ্রিক এটা হ্যাক?
"00:03:23,996 --> 00:03:28,500","When I met your father, I tried to kill him.","তোমার বাবার সাথে দেখা হলে, আমি তাকে হত্যার চেষ্টা করেছি।"
"00:03:28,625 --> 00:03:30,919",It was love at first sight.,এটি প্রথম দর্শনে প্রেম ছিল।
"00:03:31,044 --> 00:03:32,921","In an hour, we had four.",এক ঘণ্টায় আমরা চারজন হয়েছিলাম।
"00:03:36,717 --> 00:03:39,052",When we sent the Heavenly People back to earth,যখন আমরা স্বর্গীয় মানুষ পাঠিয়েছিলাম পৃথিবীতে ফিরে
"00:03:39,178 --> 00:03:41,054",a few of them remained.,তাদের মধ্যে কয়েক অবশিষ্ট ছিল.
"00:03:41,138 --> 00:03:44,433","Scientists, loyal to the Na'vi.","বিজ্ঞানী, Na'vi অনুগত."
"00:03:44,850 --> 00:03:46,727",And then there was Spider.,এবং তারপর স্পাইডার ছিল.
"00:03:47,019 --> 00:03:49,730",He's stuck here. Too young for a cryo-capsule.,সে এখানে আটকে আছে। ক্রাইও-ক্যাপসুলের জন্য খুব কম বয়সী।
"00:03:49,855 --> 00:03:52,357","You little beast. - See you, Norm!","তুমি ছোট্ট জানোয়ার। - দেখা হবে, নর্ম!"
"00:03:52,399 --> 00:03:54,818","war orphan, which were raised by people from the laboratory.","যুদ্ধ এতিম, যা পরীক্ষাগার থেকে মানুষ উত্থাপিত হয়েছে."
"00:03:54,860 --> 00:03:57,154","Spider, get a spare! - I'm only going to the village!","মাকড়সা, একটি অতিরিক্ত পান! - আমি শুধু গ্রামে যাচ্ছি!"
"00:03:58,697 --> 00:04:00,469",He was not part of our family.,তিনি আমাদের পরিবারের সদস্য ছিলেন না।
"00:04:00,504 --> 00:04:02,242",He was like a stray cat.,সে ছিল বিপথগামী বিড়ালের মতো।
"00:04:02,284 --> 00:04:04,119",Always there somewhere.,সবসময় কোথাও না কোথাও।
"00:04:04,786 --> 00:04:06,663",Inseparable from our children.,আমাদের শিশুদের থেকে অবিচ্ছেদ্য.
"00:04:10,375 --> 00:04:13,670","For Neytiri, he will always be a stranger.","নেইতিরির জন্য, সে সবসময় অপরিচিত হবে।"
"00:04:13,795 --> 00:04:15,339",One of them.,তাদের একজন।
"00:04:15,422 --> 00:04:17,925",He belongs with his kind.,তিনি তার ধরনের সঙ্গে অন্তর্গত.
"00:04:22,429 --> 00:04:24,640",He's mine! I took it first.,সে আমার! আমি প্রথমে নিয়েছিলাম।
"00:04:24,723 --> 00:04:27,726",Why should I leave it to you? -He's mine! - It took me several years,আমি কেন এটা তোমার উপর ছেড়ে দেব? -সে আমার! - আমার বেশ কয়েক বছর লেগেছে
"00:04:27,768 --> 00:04:29,268",let my tongue enter my head.,আমার জিহ্বা আমার মাথায় প্রবেশ করুক।
"00:04:29,269 --> 00:04:31,204","Lo'ak, liar! Give it to me! - But now that I hear him,","লুক, মিথ্যাবাদী! আমাকে দাও! - কিন্তু এখন আমি তার কথা শুনছি,"
"00:04:31,371 --> 00:04:33,857",it comes to me like native. -I hate you!,এটা স্থানীয় মত আমার কাছে আসে. -আমি তোমাকে ঘৃণা করি!
"00:04:34,816 --> 00:04:38,695","I hate you endlessly, Lo'ak! Penisolics!","আমি তোমাকে অবিরাম ঘৃণা করি, Lo'ak! পেনিসোলিক্স !"
"00:04:39,947 --> 00:04:42,616",Enough! Don't let me come there.,যথেষ্ট! আমাকে সেখানে আসতে দেবেন না।
"00:04:42,950 --> 00:04:45,369",He'll come out from behind those big rocks.,সে সেই বড় পাথরের আড়াল থেকে বেরিয়ে আসবে।
"00:04:45,577 --> 00:04:48,747",There it is.,এটা আছে.
"00:04:49,289 --> 00:04:50,799",There. Go get her!,সেখানে। তাকে নিয়ে যাও!
