en_dialogue,Timeline,kannada_dialogue
- (suspenseful music playing) - (rain pattering),"00:00:29,064 --> 00:00:32,801",- (ಸಸ್ಪೆನ್ಸ್ ಸಂಗೀತ ನುಡಿಸುವಿಕೆ) - (ಮಳೆ ತಟ್ಟುವಿಕೆ)
(violent whooshing),"00:00:44,179 --> 00:00:46,347",(ಹಿಂಸಾತ್ಮಕ ವೂಶಿಂಗ್)
(erupting),"00:00:52,154 --> 00:00:54,589",(ಸ್ಫೋಟ)
(disembodied rhythmic stomping),"00:00:55,756 --> 00:00:58,426",(ಅಂಗೀಕೃತ ಲಯಬದ್ಧ ಸ್ಟಾಂಪಿಂಗ್)
(music intensifying),"00:00:58,459 --> 00:01:00,494",(ಸಂಗೀತ ತೀವ್ರಗೊಳ್ಳುತ್ತಿದೆ)
(stomping intensifying),"00:01:02,998 --> 00:01:05,533",(ಸ್ಟಾಂಪಿಂಗ್ ತೀವ್ರಗೊಳ್ಳುತ್ತಿದೆ)
- (stomping stops) - (exhales),"00:01:14,442 --> 00:01:16,178",- (ಸ್ಟಾಂಪಿಂಗ್ ನಿಲ್ಲುತ್ತದೆ) - (ಹೊರಬಿಡುತ್ತಾನೆ)
(pensive music playing),"00:01:16,211 --> 00:01:18,446",(ಚಿಂತನಶೀಲ ಸಂಗೀತ ನುಡಿಸುವಿಕೆ)
GORDON GRAY: Dr. Oppenheimer.,"00:01:18,479 --> 00:01:20,514",ಗಾರ್ಡನ್ ಗ್ರೇ: ಡಾ. ಓಪನ್‌ಹೈಮರ್.
Dr. Oppenheimer.,"00:01:21,515 --> 00:01:22,717",ಡಾ. ಓಪನ್‌ಹೈಮರ್.
"As we begin, I believe you have","00:01:24,052 --> 00:01:25,653","ನಾವು ಪ್ರಾರಂಭಿಸಿದಾಗ, ನೀವು ಹೊಂದಿದ್ದೀರಿ ಎಂದು ನಾನು ನಂಬುತ್ತೇನೆ"
a statement to read into the record.,"00:01:25,686 --> 00:01:27,688",ಓದಲು ಒಂದು ಹೇಳಿಕೆ ದಾಖಲೆಗೆ.
"Yes, Your Honor.","00:01:29,523 --> 00:01:30,725","ಹೌದು, ನಿಮ್ಮ ಗೌರವ."
"WARD EVANS: We're not judges, Doctor.","00:01:30,758 --> 00:01:32,861","ವಾರ್ಡ್ ಇವಾನ್ಸ್: ನಾವು ನ್ಯಾಯಾಧೀಶರಲ್ಲ, ವೈದ್ಯರೇ."
ROBERT: No.,"00:01:32,895 --> 00:01:33,929",ರಾಬರ್ಟ್: ಇಲ್ಲ.
Of course.,"00:01:35,030 --> 00:01:36,430",ಖಂಡಿತವಾಗಿ.
"Members of the security board,","00:01:41,636 --> 00:01:44,572","ಭದ್ರತಾ ಮಂಡಳಿಯ ಸದಸ್ಯರು,"
the so-called derogatory information,"00:01:44,605 --> 00:01:46,909",ಕರೆಯಲ್ಪಡುವ ಅವಹೇಳನಕಾರಿ ಮಾಹಿತಿ
