en_dialogue,Timeline,kannada_dialogue
(Sonar pings),"00:01:45,714 --> 00:01:47,705",(ಸೋನಾರ್ ಪಿಂಗ್ಸ್)
13 metres. You should see it.,"00:01:50,674 --> 00:01:53,711",13 ಮೀಟರ್. ನೀವು ಅದನ್ನು ನೋಡಬೇಕು.
Okay. Take her up and over the bow rail.,"00:02:06,154 --> 00:02:09,271",ಸರಿ. ಅವಳನ್ನು ಮೇಲಕ್ಕೆ ಮತ್ತು ಬಿಲ್ಲು ರೈಲು ಮೇಲೆ ಕರೆದೊಯ್ಯಿರಿ.
"<i>Okay, Mir 2, we're going over the bow.</i> <i>Stay with us.</i>",,
(Mechanical whirring),"00:02:38,114 --> 00:02:40,105",(ಯಾಂತ್ರಿಕ ವಿರ್ರಿಂಗ್)
"Okay, quiet. We're rolling.","00:02:45,954 --> 00:02:48,070","ಸರಿ, ಶಾಂತ. ನಾವು ಉರುಳುತ್ತಿದ್ದೇವೆ."
Seeing her coming out of the darkness like a ghost ship...,"00:02:48,154 --> 00:02:51,829",ಹೊರಗೆ ಬಂದವಳನ್ನು ನೋಡಿದ ಪ್ರೇತ ಹಡಗಿನಂತೆ ಕತ್ತಲೆಯ...
..still gets me every time.,"00:02:51,914 --> 00:02:53,632",.. ಈಗಲೂ ನನಗೆ ಪ್ರತಿ ಬಾರಿಯೂ ಸಿಗುತ್ತದೆ.
To see the sad ruin of the great ship sitting here...,"00:02:53,714 --> 00:02:58,310",ದುಃಖದ ನಾಶವನ್ನು ನೋಡಲು ಇಲ್ಲಿ ಕುಳಿತಿರುವ ಮಹಾ ಹಡಗಿನ...
"..where she landed at 2:30 in the morning of April 15, 1912,...","00:02:58,394 --> 00:03:03,832",".. 2:30 ಕ್ಕೆ ಅವಳು ಬಂದಿಳಿದಳು ಏಪ್ರಿಲ್ 15, 1912 ರ ಬೆಳಿಗ್ಗೆ,..."
..after her long fall...,"00:03:03,874 --> 00:03:05,990",.. ಅವಳ ದೀರ್ಘ ಪತನದ ನಂತರ...
..from the world above.,"00:03:06,994 --> 00:03:08,985",.. ಮೇಲಿನ ಪ್ರಪಂಚದಿಂದ.
"You are so full of shit, boss!","00:03:09,714 --> 00:03:11,750","ನೀವು ತುಂಬಾ ಶಿಟ್, ಬಾಸ್!"
(Sonar pinging),"00:03:15,154 --> 00:03:17,145",(ಸೋನಾರ್ ಪಿಂಗ್)
Dive six - here we are again on the deck of Titanic.,"00:03:39,794 --> 00:03:43,707",ಆರು ಡೈವ್ - ಇಲ್ಲಿ ನಾವು ಮತ್ತೆ ಟೈಟಾನಿಕ್ ಡೆಕ್ ಮೇಲೆ.
"2 1/2 miles down, 3,821 meters.","00:03:43,834 --> 00:03:49,670","2 1/2 ಮೈಲಿ ಕೆಳಗೆ, 3,821 ಮೀಟರ್."
The pressure outside is 3 1/2 tons per square inch.,"00:03:49,754 --> 00:03:53,030",ಹೊರಗಿನ ಒತ್ತಡ ಪ್ರತಿ ಚದರ ಇಂಚಿಗೆ 3 1/2 ಟನ್ ಆಗಿದೆ.
These windows are nine inches thick.,"00:03:53,114 --> 00:03:55,423",ಈ ಕಿಟಕಿಗಳು ಒಂಬತ್ತು ಇಂಚು ದಪ್ಪವಾಗಿರುತ್ತದೆ.
"If they go, it's sayonara in two microseconds.","00:03:55,514 --> 00:03:59,348","ಅವರು ಹೋದರೆ, ಇದು ಎರಡು ಮೈಕ್ರೋಸೆಕೆಂಡ್‌ಗಳಲ್ಲಿ ಸಯೋನಾರಾ."
All right. Enough of that bullshit.,"00:03:59,434 --> 00:04:02,028",ಸರಿ. ಆ ಬುಲ್ಶಿಟ್ ಸಾಕು.
Put her down on the roof of the officers' quarters.,"00:04:15,194 --> 00:04:18,425",ಅವಳನ್ನು ಛಾವಣಿಯ ಮೇಲೆ ಇರಿಸಿ ಅಧಿಕಾರಿಗಳ ವಸತಿಗೃಹಗಳು.
Sure.,"00:04:18,594 --> 00:04:19,709",ಖಂಡಿತ.
"<i>Okay, Mir 2.</i>",,
<i>We've landed on the grand staircase.</i> <i>You guys set to launch?</i>,,
"Yeah. Launching Dunkin now. Go, Charlie.","00:04:25,434 --> 00:04:27,994","ಹೌದು. ಈಗ ಡಂಕಿನ್ ಅನ್ನು ಪ್ರಾರಂಭಿಸಲಾಗುತ್ತಿದೆ. ಹೋಗು, ಚಾರ್ಲಿ."
- Tether out. - Tether out.,"00:04:35,514 --> 00:04:37,823",- ಟೆಥರ್ ಔಟ್. - ಟೆಥರ್ ಔಟ್.
"Okay, Brock, we're dropping down along the hull.","00:04:37,914 --> 00:04:41,907","ಸರಿ, ಬ್ರಾಕ್, ನಾವು ಕವಚದ ಉದ್ದಕ್ಕೂ ಬೀಳುತ್ತಿದ್ದೇವೆ."
"Roger that. Okay, drop down and go into the first-class gangway door.","00:04:43,034 --> 00:04:47,550","ರೋಜರ್ ಅದು. ಸರಿ, ಕೆಳಗೆ ಬೀಳಿಸಿ ಮತ್ತು ಹೋಗಿ ಪ್ರಥಮ ದರ್ಜೆ ಗ್ಯಾಂಗ್ವೇ ಬಾಗಿಲಿಗೆ."
"I want you guys working the ""D"" deck, reception and the dining saloon.","00:04:47,634 --> 00:04:51,593","ನೀವು ""ಡಿ"" ಡೆಕ್‌ನಲ್ಲಿ ಕೆಲಸ ಮಾಡಬೇಕೆಂದು ನಾನು ಬಯಸುತ್ತೇನೆ, ಸ್ವಾಗತ ಮತ್ತು ಊಟದ ಸಲೂನ್."
Copy that.,"00:04:51,674 --> 00:04:53,505",ನಕಲಿಸಲು.
- Now left. - I'm coming left.,"00:05:01,194 --> 00:05:03,230",- ಈಗ ಉಳಿದಿದೆ. - ನಾನು ಎಡಕ್ಕೆ ಬರುತ್ತೇನೆ.
Brock: <i>Snoop Dog is on the move.</i>,,
<i>We're headed down the stairwell.</i>,,
"Okay, Lewis. Drop down to ""B"" deck.","00:05:17,234 --> 00:05:19,304","ಸರಿ, ಲೂಯಿಸ್. ""ಬಿ"" ಡೆಕ್‌ಗೆ ಡ್ರಾಪ್ ಡೌನ್ ಮಾಡಿ."
"Okay. ""A"" deck.","00:05:19,394 --> 00:05:20,622","ಸರಿ. ""ಎ"" ಡೆಕ್."
"Lewis: Give me some rope, Captain.","00:05:20,714 --> 00:05:22,705","ಲೂಯಿಸ್: ನನಗೆ ಸ್ವಲ್ಪ ಹಗ್ಗ ಕೊಡು, ಕ್ಯಾಪ್ಟನ್."
"""B"" deck. Get in there.","00:05:22,794 --> 00:05:23,783","""ಬಿ"" ಡೆಕ್. ಅಲ್ಲಿಗೆ ಹೋಗು."
