Timeline,en_dialogue,bengali_dialogue
"00:01:25,836 --> 00:01:27,920",Ronson's down.,রনসন ডাউন।
"00:01:28,088 --> 00:01:29,589",He needs medical evac.,তার মেডিকেল এভিএসি দরকার।
"00:01:29,673 --> 00:01:31,424",M (OVER EARPIECE): Where is it? Is it there?,এটা কোথায়? এটা আছে?
"00:01:31,508 --> 00:01:32,508",Hard drive's gone.,হার্ড ড্রাইভ চলে গেছে।
"00:01:33,177 --> 00:01:34,510",M: Are you sure?,আপনি কি নিশ্চিত?
"00:01:38,056 --> 00:01:39,474",It's gone. Give me a minute.,এটা চলে গেছে। আমাকে এক মিনিট দিন।
"00:01:39,600 --> 00:01:41,517",They must have it. Get after them.,তাদের অবশ্যই এটি থাকতে হবে। তাদের পরে পেতে।
"00:01:46,398 --> 00:01:47,523",I'm stabilizing Ronson.,আমি রনসনকে স্থিতিশীল করছি।
"00:01:47,691 --> 00:01:48,858",We don't have the time.,আমি রনসনকে স্থিতিশীল করছি।
"00:01:48,984 --> 00:01:50,526",I have to stop the bleeding !,আমাদের সময় নেই
"00:01:51,028 --> 00:01:52,612",Leave him!,তাকে ছেড়ে দিন!
"00:02:27,189 --> 00:02:28,648",BOND: Have you got him?,আপনি কি তাকে পেয়েছেন?
"00:02:29,107 --> 00:02:30,608",He's in the black Audi.,তিনি ব্ল্যাক অডিতে আছেন।
"00:02:31,485 --> 00:02:32,527",What about Ronson?,রনসন সম্পর্কে কী?
"00:02:32,653 --> 00:02:33,694",He's been hit.,রনসন সম্পর্কে কী?
"00:02:34,071 --> 00:02:35,905",We're sending an emergency evacuation squad.,তাকে আঘাত করা হয়েছে।
"00:02:35,989 --> 00:02:37,615",They'll be too bloody late!,তারা খুব রক্তাক্ত দেরিতে হবে!
"00:02:37,908 --> 00:02:38,908",(TIRES SCREECHING),তারা খুব রক্তাক্ত দেরিতে হবে!
"00:02:39,076 --> 00:02:40,284",He's seen us.,তিনি আমাদের দেখেছেন।
"00:02:40,828 --> 00:02:42,829",Medical evac for Ronson five minutes away.,রনসনের জন্য মেডিকেল এভিএসি পাঁচ মিনিট দূরে।
"00:02:49,336 --> 00:02:51,170",That's all right. You weren't using it.,ঠিক আছে। আপনি এটি ব্যবহার করছেন না।
"00:02:53,590 --> 00:02:55,591","I wasn't using that one, either.","আমি ব্যবহার করছিলাম না যে এক, হয়।"
"00:03:40,971 --> 00:03:42,305",Keep your head down.,আপনার মাথা নীচে রাখুন।
"00:03:42,472 --> 00:03:44,015",(GUNFIRE BLASTING),আপনার মাথা নীচে রাখুন।
"00:04:17,341 --> 00:04:18,466",Just get clear!,শুধু পরিষ্কার হয়ে উঠুন!
"00:04:20,427 --> 00:04:22,053","Tanner, which way?","ট্যানার, কোন পথে?"
"00:04:22,179 --> 00:04:23,846",Keep going. I can direct you from here.,যেতে থাকুন। আমি আপনাকে এখান থেকে পরিচালনা করতে পারি।
"00:04:23,972 --> 00:04:25,514",You both know what's at stake here.,আপনি উভয় জানেন এখানে কি ঝুঁকির মধ্যে রয়েছে।
"00:04:25,641 --> 00:04:27,183",We can't afford to lose that list.,আমরা সামর্থ্য করতে পারি না সেই তালিকা হারাতে।
"00:04:27,309 --> 00:04:28,309","Yes, ma'am.","হ্যাঁ, ম্যাম।"
