Timeline,en_dialogue,tamil_dialogue
"00:03:02,057 --> 00:03:04,016",She looks at me every day.,அவள் தினமும் என்னைப் பார்க்கிறாள்.
"00:03:04,184 --> 00:03:05,977",Mary jane Watson.,மேரி ஜேன் வாட்சன்.
"00:03:06,144 --> 00:03:10,189","Oh, boy. lf she only knew how l felt about her.","ஓ, பையன். அவளுக்கு மட்டும் தெரிந்தால் நான் அவளை எப்படி உணர்ந்தேன்."
"00:03:10,357 --> 00:03:12,149",But she can never know.,ஆனால் அவளால் அறிய முடியாது.
"00:03:12,317 --> 00:03:15,778",I made a choice once to live a life of responsibility.,நான் வாழ ஒரு முறை தேர்வு செய்தேன் பொறுப்பான வாழ்க்கை.
"00:03:15,946 --> 00:03:18,239",A life she can never be a part of.,அவள் ஒருபோதும் ஒரு பகுதியாக இருக்க முடியாத வாழ்க்கை.
"00:03:18,407 --> 00:03:19,699",Who am I?,நான் யார்?
"00:03:19,867 --> 00:03:22,451","I'm Spider-Man, given a job to do.","நான் ஸ்பைடர் மேன், செய்ய ஒரு வேலை கொடுக்கப்பட்டுள்ளது."
"00:03:22,619 --> 00:03:25,621","And l'm Peter Parker, and I, too, have a job.","நான் பீட்டர் பார்க்கர், எனக்கும் ஒரு வேலை இருக்கிறது."
"00:03:25,789 --> 00:03:27,373",Parker. Parker!,பார்க்கர். பார்க்கர்!
"00:03:27,833 --> 00:03:29,792","No, no, no, stop! Stop!","இல்லை, இல்லை, இல்லை, நிறுத்து! நிறுத்து!"
"00:03:31,211 --> 00:03:33,880","Parker, you're late, man. Always late.","பார்க்கர், நீங்கள் தாமதமாக வந்தீர்கள், நண்பரே. எப்போதும் தாமதம்."
"00:03:34,047 --> 00:03:36,966","I'm sorry, Mr. Aziz. There was a disturbance.","மன்னிக்கவும், திரு. அஜீஸ். அங்கு பரபரப்பு ஏற்பட்டது."
"00:03:37,134 --> 00:03:39,427",Another disturbance. Always a disturbance with you.,இன்னொரு தொந்தரவு. உங்களுக்கு எப்பொழுதும் தொந்தரவு.
"00:03:39,595 --> 00:03:42,388","Come on, 21 minutes ago, in comes order.","வாருங்கள், 21 நிமிடங்களுக்கு முன்பு, வரிசையில் வருகிறது."
"00:03:42,556 --> 00:03:46,142","Harmattan, Burton and Smith. Eight extra-large deep-dish pizzas.","ஹர்மட்டன், பர்டன் மற்றும் ஸ்மித். எட்டு கூடுதல் பெரிய ஆழமான டிஷ் பீஸ்ஸாக்கள்."
"00:03:46,310 --> 00:03:49,186","In eight minutes, I am defaulting on Joe's 29-minute guarantee.","எட்டு நிமிடங்களில், நான் இயல்புநிலையை இயக்குகிறேன் ஜோவின் 29 நிமிட உத்தரவாதம்."
"00:03:49,354 --> 00:03:52,315","Then, not only am I receiving no money for these pizzas...","பிறகு, நான் மட்டும் பெறவில்லை இந்த பீட்சாக்களுக்கு பணம் இல்லை..."
"00:03:52,482 --> 00:03:55,151",...but l will lose the customer forever to Pizza Yurt.,ஆனால் நான் வாடிக்கையாளரை என்றென்றும் இழப்பேன் பிஸ்ஸா யூர்ட்டுக்கு.
"00:03:55,319 --> 00:03:58,696","Look, you are my only hope, all right? You have to make it in time.","பார், நீ தான் என் நம்பிக்கை, சரியா? நீங்கள் அதை சரியான நேரத்தில் செய்ய வேண்டும்."
"00:03:58,864 --> 00:04:02,617","Peter, you're a nice guy. But you're just not dependable.","பீட்டர், நீங்கள் ஒரு நல்ல பையன். ஆனால் நீங்கள் நம்பகமானவர் அல்ல."
"00:04:02,993 --> 00:04:04,827",This is your last chance.,இது உங்களுக்கான கடைசி வாய்ப்பு.
"00:04:04,995 --> 00:04:09,749",You have to go 42 blocks in 7 1/2 minutes or your ass is fired.,நீங்கள் 42 தொகுதிகள் செல்ல வேண்டும் 7 1/2 நிமிடங்களில் அல்லது உங்கள் கழுதை சுடப்படும்.
"00:04:11,460 --> 00:04:13,336",Go!,போ!
"00:04:35,609 --> 00:04:37,193","Hey, what, are you stupid?","ஏய் என்ன, நீ முட்டாளா?"
"00:04:59,132 --> 00:05:02,301",Whoa! He stole that guy's pizzas!,ஐயோ! அவர் அந்த பையனின் பீட்சாக்களை திருடினார்!
"00:05:11,019 --> 00:05:12,603",I'm gonna get it!,நான் அதைப் பெறுகிறேன்!
"00:05:28,245 --> 00:05:30,579","Hey, you guys. No playing in the streets.","ஏய், நீங்கள். தெருக்களில் விளையாடுவதில்லை."
"00:05:30,747 --> 00:05:31,998","Yes, Mr. Spider-Man.","ஆம், மிஸ்டர் ஸ்பைடர் மேன்."
"00:05:32,290 --> 00:05:33,958",See you.,சந்திப்போம்.
"00:05:35,127 --> 00:05:36,419","Way to go, Spidey!","செல்ல வழி, ஸ்பைடி!"
"00:06:29,306 --> 00:06:31,182",Pizza time.,பீஸ்ஸா நேரம்.
"00:06:35,937 --> 00:06:37,521",You're late.,நீங்கள் தாமதமாகிவிட்டீர்கள்.
"00:06:38,482 --> 00:06:39,815",I'm not paying for those.,நான் அவற்றிற்கு பணம் செலுத்துவதில்லை.
"00:06:57,959 --> 00:06:59,835","Joe's 29-minute guarantee is a promise, man.","ஜோவின் 29 நிமிட உத்தரவாதம் ஒரு வாக்குறுதி, மனிதனே."
"00:07:03,673 --> 00:07:08,177","I know to you, Parker, a promise means nothing. But to me, it's serious.","பார்க்கர், நான் உங்களுக்கு ஒரு வாக்குறுதியை அறிவேன் எதுவும் இல்லை. ஆனால் எனக்கு அது தீவிரமானது."
"00:07:08,845 --> 00:07:10,805","It's serious to me too, Mr. Aziz.","எனக்கும் இது தீவிரமானது, திரு. அஜீஸ்."
"00:07:10,972 --> 00:07:13,474","-You're fired. Go. -Please, l need this job.","-நீ நீக்கப்பட்டாய். போ. - தயவுசெய்து, எனக்கு இந்த வேலை தேவை."
"00:07:13,642 --> 00:07:16,185","-You're fired. -Look, give me another chance.","-நீ நீக்கப்பட்டாய். - பார், எனக்கு இன்னொரு வாய்ப்பு கொடு."
"00:07:23,276 --> 00:07:24,610",You're fired.,நீங்கள் நீக்கப்பட்டீர்கள்.
"00:07:24,945 --> 00:07:26,946","-Parker, hello. You're fired. -Why?","-பார்க்கர், வணக்கம். நீங்கள் நீக்கப்பட்டீர்கள். -ஏன்?"
"00:07:27,113 --> 00:07:28,614",Dogs catching Frisbees?,ஃபிரிஸ்பீஸ் பிடிக்கும் நாய்கள்?
"00:07:28,782 --> 00:07:31,116",Pigeons in the park? A couple geezers playing chess?,பூங்காவில் புறாக்கள்? ஒரு ஜோடி கீசர்கள் செஸ் விளையாடுகிறார்களா?
"00:07:31,284 --> 00:07:32,493",-Boss. -Not now.,- முதலாளி. -இப்போது இல்லை.
"00:07:32,661 --> 00:07:35,412",The Bugle could show another side of New York for a change.,பியூகல் மற்றொரு பக்கத்தைக் காட்ட முடியும் ஒரு மாற்றத்திற்காக நியூயார்க்.
"00:07:35,580 --> 00:07:38,499","We got six minutes to deadline, Jonah. We need page one.","காலக்கெடுவுக்கு ஆறு நிமிடங்கள் உள்ளன, ஜோனா. எங்களுக்கு ஒரு பக்கம் தேவை."
"00:07:38,667 --> 00:07:42,086",I don't pay you to be a sensitive artiste. I pay you-- Still not now!,உணர்வுள்ள கலைஞராக இருப்பதற்காக நான் உங்களுக்கு பணம் கொடுக்கவில்லை. நான் உங்களுக்கு பணம் செலுத்துகிறேன் - இப்போது இல்லை!
"00:07:42,254 --> 00:07:44,839",I pay you because that psycho Spider-Man will pose for you.,அந்த சைக்கோ என்பதால் நான் உனக்கு பணம் கொடுக்கிறேன் ஸ்பைடர் மேன் உங்களுக்காக போஸ் கொடுப்பார்.
"00:07:45,006 --> 00:07:46,757",He won't let me take any more pictures.,அவர் என்னை எடுக்க விடமாட்டார் இன்னும் படங்கள்.
"00:07:46,925 --> 00:07:48,509",You turned the whole city against him.,நீங்கள் முழு நகரத்தையும் திருப்பிவிட்டீர்கள் அவனுக்கு எதிராக.
"00:07:48,677 --> 00:07:50,177",A fact l'm very proud of.,ஒரு உண்மை நான் மிகவும் பெருமைப்படுகிறேன்.
"00:07:50,345 --> 00:07:54,139",Get your pretty little portfolio off my desk before I go into a diabetic coma.,உங்கள் அழகான சிறிய போர்ட்ஃபோலியோவை என்னிடமிருந்து பெறுங்கள் நான் நீரிழிவு கோமா நிலைக்குச் செல்வதற்கு முன் மேசை.
"00:07:54,307 --> 00:07:57,643","-lt's your wife, she lost her checkbook. -Thanks for the good news.","-அவள் உன் மனைவி, அவள் காசோலை புத்தகத்தை இழந்தாள். -நல்ல செய்திக்கு நன்றி."
"00:07:57,811 --> 00:08:01,146","Please, isn't there any of these shots you can use? I need the money.",தயவு செய்து இந்த காட்சிகள் எதுவும் இல்லையா நீங்கள் பயன்படுத்த முடியுமா? எனக்கு பணம் வேண்டும்.
"00:08:02,524 --> 00:08:04,358",Miss Brant. Get me a violin.,மிஸ் பிராண்ட். எனக்கு ஒரு வயலின் கொடுங்கள்.
"00:08:04,526 --> 00:08:06,235","Five minutes to deadline, Jonah.","காலக்கெடுவுக்கு ஐந்து நிமிடங்கள், ஜோனா."
"00:08:06,403 --> 00:08:09,113",Run a picture of a rancid chicken. Here's the headline:,வெறிபிடித்த கோழியின் படத்தை இயக்கவும். இதோ தலைப்பு:
"00:08:09,281 --> 00:08:11,156","""Food Poisoning Scare Sweeps City.""","""ஃபுட் பாய்சனிங் ஸ்கேர் ஸ்வீப்ஸ் சிட்டி."""
"00:08:11,324 --> 00:08:13,659",-Some food got poisoned? -l'm a little nauseous.,- சில உணவில் விஷம் கலந்ததா? - எனக்கு கொஞ்சம் குமட்டல்.
"00:08:13,827 --> 00:08:15,661","All right, Mr. Jameson.","சரி, மிஸ்டர் ஜேம்சன்."
"00:08:17,372 --> 00:08:19,540","It stinks. Robbie, there's your page one.","துர்நாற்றம் வீசுகிறது. ராபி, உங்கள் பக்கம் ஒன்று இருக்கிறது."
"00:08:19,708 --> 00:08:21,333","""Masked Menace Terrorizes Town.""","""முகமூடி அச்சுறுத்தல் நகரத்தை அச்சுறுத்துகிறது."""
"00:08:21,501 --> 00:08:23,085","I told you, he's not a menace.","நான் சொன்னேன், அவர் ஒரு அச்சுறுத்தல் இல்லை."
"00:08:23,253 --> 00:08:24,837",-l told you-- -l'll take care of it.,நான் சொன்னேன்... - நான் பார்த்துக் கொள்கிறேன்.
"00:08:25,005 --> 00:08:26,672",-l'll give you 150. -Three hundred.,- நான் உங்களுக்கு 150 தருகிறேன். -முந்நூறு.
"00:08:27,048 --> 00:08:28,340",That's outrageous.,அது மூர்க்கத்தனமானது.
"00:08:28,508 --> 00:08:30,467",Done. Give this to the girl.,முடிந்தது. இதை பெண்ணிடம் கொடுங்கள்.
"00:08:30,635 --> 00:08:31,844",Thank you. Bye-bye.,நன்றி. விடைபெறுகிறேன்.
"00:08:32,304 --> 00:08:33,804",Hi.,வணக்கம்.
"00:08:34,014 --> 00:08:35,472","Hey, Pete.","ஏய், பீட்."
"00:08:38,435 --> 00:08:42,271",I don't think this covers the advance I gave you a couple weeks ago.,இது முன்பணத்தை உள்ளடக்கும் என்று நான் நினைக்கவில்லை இரண்டு வாரங்களுக்கு முன்பு கொடுத்தேன்.
"00:08:42,606 --> 00:08:44,565",-Right. -Sorry.,- சரி. - மன்னிக்கவும்.
"00:08:45,775 --> 00:08:47,026",Hey.,ஏய்.
"00:08:47,527 --> 00:08:49,069","Chin up, okay?","சின் அப், சரியா?"
"00:09:02,208 --> 00:09:03,667","Watch it, jerk!","அதைப் பாருங்கள், முட்டாள்!"
"00:09:14,387 --> 00:09:16,305",Dr. Connors. Sorry.,டாக்டர் கானர்ஸ். மன்னிக்கவும்.
"00:09:16,473 --> 00:09:18,015","Where were you headed, Parker?","நீங்கள் எங்கு சென்றீர்கள், பார்க்கர்?"
"00:09:18,224 --> 00:09:19,475",To your class.,உங்கள் வகுப்பிற்கு.
"00:09:19,643 --> 00:09:21,477",My class is over.,என் வகுப்பு முடிந்தது.
"00:09:21,645 --> 00:09:23,854",See me standing here?,நான் இங்கே நிற்பதைப் பார்த்தீர்களா?
"00:09:24,022 --> 00:09:27,816",I'm sorry. I'm trying. I wanna be here.,என்னை மன்னிக்கவும். நான் முயற்சி செய்கிறேன். நான் இங்கே இருக்க வேண்டும்.
"00:09:27,984 --> 00:09:29,318",Then be here.,அப்புறம் இங்கே இரு.
"00:09:30,695 --> 00:09:32,154","Look at you, Peter.","உன்னைப் பார், பீட்டர்."
"00:09:32,697 --> 00:09:37,034",Your grades have been steadily declining. You're late for class.,உங்கள் மதிப்பெண்கள் சீராக உள்ளன குறைகிறது. நீங்கள் வகுப்பிற்கு தாமதமாக வந்தீர்கள்.
"00:09:37,202 --> 00:09:40,079",You always appear exhausted.,நீங்கள் எப்பொழுதும் சோர்வுடன் காணப்படுவீர்கள்.
"00:09:41,539 --> 00:09:43,582",Your paper on fusion is still overdue.,இணைவு பற்றிய உங்கள் தாள் இன்னும் தாமதமாக உள்ளது.
"00:09:43,750 --> 00:09:46,919",I know. I'm planning to write it on Dr. Otto Octavius.,எனக்கு தெரியும். நான் அதை எழுத திட்டமிட்டுள்ளேன் டாக்டர் ஓட்டோ ஆக்டேவியஸ் மீது.
"00:09:47,087 --> 00:09:50,255",Planning is not a major at this university.,திட்டமிடல் முக்கியமல்ல இந்த பல்கலைக்கழகத்தில்.
"00:09:53,593 --> 00:09:55,594",Octavius is a friend of mine.,ஆக்டேவியஸ் என்னுடைய நண்பர்.
"00:09:55,929 --> 00:09:57,930","Better do your research, Parker.","உங்கள் ஆராய்ச்சியை மேற்கொள்வது நல்லது, பார்க்கர்."
"00:09:58,264 --> 00:10:01,433","Get it done, or I'm failing you.","அதைச் செய்யுங்கள், அல்லது நான் உங்களைத் தவறவிடுகிறேன்."
