Timeline,en_dialogue,bengali_dialogue
"00:01:45,714 --> 00:01:47,705",(Sonar pings),(সোনার পিংস)
"00:01:50,674 --> 00:01:53,711",13 metres. You should see it.,13 মিটার। আপনার এটা দেখা উচিত.
"00:02:06,154 --> 00:02:09,271",Okay. Take her up and over the bow rail.,ঠিক আছে. তার উপরে এবং নম রেল উপর নিন.
"00:02:09,354 --> 00:02:14,223","<i>Okay, Mir 2, we're going over the bow.</i> <i>Stay with us.</i>","<i>ঠিক আছে, মীর 2, আমরা ধনুকের উপর দিয়ে যাচ্ছি।</i> <i>আমাদের সাথে থাকুন।</i>"
"00:02:38,114 --> 00:02:40,105",(Mechanical whirring),(যান্ত্রিক ঘূর্ণায়মান)
"00:02:45,954 --> 00:02:48,070","Okay, quiet. We're rolling.","ঠিক আছে, শান্ত। আমরা রোলিং করছি."
"00:02:48,154 --> 00:02:51,829",Seeing her coming out of the darkness like a ghost ship...,তাকে বের হতে দেখে ভূতের জাহাজের মতো অন্ধকারে...
"00:02:51,914 --> 00:02:53,632",..still gets me every time.,..এখনও প্রতিবার আমাকে পায়।
"00:02:53,714 --> 00:02:58,310",To see the sad ruin of the great ship sitting here...,দুঃখজনক ধ্বংসাবশেষ দেখতে এখানে বসে থাকা মহান জাহাজের...
"00:02:58,394 --> 00:03:03,832","..where she landed at 2:30 in the morning of April 15, 1912,...",..যেখানে তিনি 2:30 এ অবতরণ করেন 1912 সালের 15 এপ্রিল সকালে...
"00:03:03,874 --> 00:03:05,990",..after her long fall...,..তার দীর্ঘ পতনের পর...
"00:03:06,994 --> 00:03:08,985",..from the world above.,..উপরের পৃথিবী থেকে
"00:03:09,714 --> 00:03:11,750","You are so full of shit, boss!","আপনি এত বিষ্ঠা, বস!"
"00:03:15,154 --> 00:03:17,145",(Sonar pinging),(সোনার পিং)
"00:03:39,794 --> 00:03:43,707",Dive six - here we are again on the deck of Titanic.,ছয় ডুব - এখানে আমরা আবার টাইটানিকের ডেকের উপর।
