en_dialogue,Timeline,telugu_dialogue
- (suspenseful music playing) - (rain pattering),"00:00:29,064 --> 00:00:32,801",- (సస్పెన్స్‌తో కూడిన మ్యూజిక్ ప్లే) - (వర్షం కురుస్తోంది)
(violent whooshing),"00:00:44,179 --> 00:00:46,347",(హింసాత్మక హూషింగ్)
(erupting),"00:00:52,154 --> 00:00:54,589",(విస్ఫోటనం)
(disembodied rhythmic stomping),"00:00:55,756 --> 00:00:58,426",(విచ్ఛిన్నమైన రిథమిక్ స్టాంపింగ్)
(music intensifying),"00:00:58,459 --> 00:01:00,494",(సంగీతం తీవ్రతరం)
(stomping intensifying),"00:01:02,998 --> 00:01:05,533",(స్టాంపింగ్ తీవ్రతరం)
- (stomping stops) - (exhales),"00:01:14,442 --> 00:01:16,178",- (స్టాంపింగ్ స్టాప్‌లు) - (నిశ్వాసలు)
(pensive music playing),"00:01:16,211 --> 00:01:18,446",(చింతనతో కూడిన సంగీతం ప్లే)
GORDON GRAY: Dr. Oppenheimer.,"00:01:18,479 --> 00:01:20,514",గోర్డాన్ గ్రే: డాక్టర్ ఒపెన్‌హైమర్.
Dr. Oppenheimer.,"00:01:21,515 --> 00:01:22,717",డా. ఓపెన్‌హీమర్.
"As we begin, I believe you have","00:01:24,052 --> 00:01:25,653","మేము ప్రారంభించినప్పుడు, మీరు కలిగి ఉన్నారని నేను నమ్ముతున్నాను"
a statement to read into the record.,"00:01:25,686 --> 00:01:27,688",చదవడానికి ఒక ప్రకటన రికార్డులోకి.
"Yes, Your Honor.","00:01:29,523 --> 00:01:30,725","అవును, మీ గౌరవం."
"WARD EVANS: We're not judges, Doctor.","00:01:30,758 --> 00:01:32,861","వార్డ్ ఎవాన్స్: మేము న్యాయమూర్తులు కాదు, డాక్టర్."
ROBERT: No.,"00:01:32,895 --> 00:01:33,929",రాబర్ట్: లేదు.
Of course.,"00:01:35,030 --> 00:01:36,430",అయితే.
"Members of the security board,","00:01:41,636 --> 00:01:44,572","భద్రతా బోర్డు సభ్యులు,"
the so-called derogatory information,"00:01:44,605 --> 00:01:46,909",అని పిలవబడేది అవమానకరమైన సమాచారం
"in your indictment of me cannot be fairly understood,","00:01:46,942 --> 00:01:49,845","నాపై మీ నేరారోపణలో సరిగ్గా అర్థం చేసుకోలేము,"
except in the context of my life and my work.,"00:01:49,878 --> 00:01:53,714",సందర్భంలో తప్ప నా జీవితం మరియు నా పని.
SENATE AIDE: How long did he testify?,"00:01:54,682 --> 00:01:56,919",సెనేట్ సహాయకుడు: ఎలా అతను చాలా కాలం సాక్ష్యమిచ్చాడా?
"Honestly, I forget.","00:01:56,952 --> 00:01:58,686","నిజాయితీగా, నేను మర్చిపోయాను."
The whole hearing took a month.,"00:02:00,088 --> 00:02:02,057",మొత్తం విచారణకు ఒక నెల పట్టింది.
"An ordeal, hmm?","00:02:02,090 --> 00:02:03,524","ఒక పరీక్ష, హ్మ్?"
"Well, I've only read the transcripts.","00:02:03,557 --> 00:02:05,227","బాగా, నేను మాత్రమే చదివాను ట్రాన్స్క్రిప్ట్స్."
(clears throat),"00:02:05,260 --> 00:02:06,727",(గొంతు క్లియర్ చేస్తుంది)
Who'd want to justify their whole life?,"00:02:07,795 --> 00:02:09,530",ఎవరు సమర్థించాలనుకుంటున్నారు వారి జీవితమంతా?
You weren't there?,"00:02:09,563 --> 00:02:10,798",మీరు అక్కడ లేరా?
"As chairman, I wasn't allowed to be.","00:02:10,832 --> 00:02:13,135",చైర్మన్‌గా ఐ ఉండటానికి అనుమతించబడలేదు.
Are they really going to ask about it?,"00:02:13,168 --> 00:02:15,736",వారు నిజంగా వెళ్తున్నారా దాని గురించి అడగడానికి?
- It was years ago. - Four years ago...,"00:02:15,770 --> 00:02:17,873",- ఇది సంవత్సరాల క్రితం. - నాలుగు సంవత్సరముల క్రితం...
Five.,"00:02:17,906 --> 00:02:18,941",ఐదు.
Oppenheimer still divides America.,"00:02:19,808 --> 00:02:21,542",ఓపెన్‌హీమర్ ఇప్పటికీ అమెరికాను విభజిస్తుంది.
The committee is gonna want to know where you stood.,"00:02:21,575 --> 00:02:23,946",కమిటీ కోరుతోంది మీరు ఎక్కడ ఉన్నారో తెలుసుకోవడానికి.
Senator Thurmond asked me to say,"00:02:23,979 --> 00:02:26,081",సెనేటర్ థర్మండ్ నన్ను చెప్పమని అడిగాడు
not to feel that you're on trial.,"00:02:26,114 --> 00:02:27,950",అని భావించడం కాదు మీరు విచారణలో ఉన్నారు.
"Oh, funny, I didn't till you just said that.","00:02:27,983 --> 00:02:31,519","ఓహ్, ఫన్నీ, నేను చేయలేదు మీరు ఇప్పుడే చెప్పే వరకు."
"- Really, Mr. Strauss... - It's Admiral.","00:02:31,552 --> 00:02:33,155","- నిజంగా, మిస్టర్ స్ట్రాస్... - ఇది అడ్మిరల్."
"Um, Admiral Strauss. This is a formality.","00:02:33,188 --> 00:02:36,124","ఉమ్, అడ్మిరల్ స్ట్రాస్. ఇది లాంఛనమే."
President Eisenhower has asked you to be in his cabinet.,"00:02:36,158 --> 00:02:38,659",అధ్యక్షుడు ఐసెన్‌హోవర్ కోరారు మీరు అతని మంత్రివర్గంలో ఉండాలి.
Senate really has no choice but to confirm you.,"00:02:38,693 --> 00:02:40,561",సెనేట్ నిజంగా లేదు ఎంపిక కానీ మిమ్మల్ని నిర్ధారించడం.
And if they bring up Oppenheimer?,"00:02:40,594 --> 00:02:42,831",మరియు వారు తీసుకువస్తే ఓపెన్‌హీమర్ పైకి?
"When they bring up Oppenheimer, you answer honestly.","00:02:42,864 --> 00:02:45,233","వారు ఓపెన్‌హైమర్‌ను తీసుకువచ్చినప్పుడు, మీరు నిజాయితీగా సమాధానం చెప్పండి."
No senator can deny you did your duty.,"00:02:45,267 --> 00:02:47,668",ఏ సెనేటర్ కాదనలేరు నువ్వు నీ కర్తవ్యం చేశావు.
It'll be uncomfortable. (chuckles awkwardly),"00:02:47,702 --> 00:02:49,838",ఇది అసౌకర్యంగా ఉంటుంది. (వికారంగా నవ్వుతూ)
(clamoring),"00:02:53,108 --> 00:02:54,742",(క్లామింగ్)
ROGER ROBB: Why did you leave the United States?,"00:02:56,945 --> 00:02:59,647",రోజర్ రాబ్: మీరు ఎందుకు చేసారు యునైటెడ్ స్టేట్స్ వదిలి?
"I, uh... I wanted to study the new physics.","00:03:01,749 --> 00:03:05,153","నేను, ఊ... నేను కోరుకున్నాను కొత్త భౌతిక శాస్త్రాన్ని అధ్యయనం చేయండి."
GRAY: Was there nowhere here?,"00:03:05,187 --> 00:03:06,721",గ్రే: ఇక్కడ ఎక్కడా లేవా?
