Timeline,en_dialogue,telugu_dialogue
"00:01:25,836 --> 00:01:27,920",Ronson's down.,రోన్సన్ డౌన్.
"00:01:28,088 --> 00:01:29,589",He needs medical evac.,అతనికి మెడికల్ ఫక్ అవసరం.
"00:01:29,673 --> 00:01:31,424",M (OVER EARPIECE): Where is it? Is it there?,M (ఓవర్ ఇయర్‌పీస్): ఇది ఎక్కడ ఉంది? అది ఉందా?
"00:01:31,508 --> 00:01:32,508",Hard drive's gone.,హార్డ్ డ్రైవ్ పోయింది.
"00:01:33,177 --> 00:01:34,510",M: Are you sure?,M: మీకు ఖచ్చితంగా తెలుసా?
"00:01:38,056 --> 00:01:39,474",It's gone. Give me a minute.,ఇది పోయింది. నాకు ఒక నిమిషం ఇవ్వండి.
"00:01:39,600 --> 00:01:41,517",They must have it. Get after them.,వారు తప్పక కలిగి ఉండాలి. వారి తరువాత పొందండి.
"00:01:46,398 --> 00:01:47,523",I'm stabilizing Ronson.,నేను రోన్సన్‌ను స్థిరీకరిస్తున్నాను.
"00:01:47,691 --> 00:01:48,858",We don't have the time.,మాకు సమయం లేదు.
"00:01:48,984 --> 00:01:50,526",I have to stop the bleeding !,నేను రక్తస్రావం ఆపాలి!
"00:01:51,028 --> 00:01:52,612",Leave him!,అతన్ని వదిలేయండి!
"00:02:27,189 --> 00:02:28,648",BOND: Have you got him?,బాండ్: మీరు అతన్ని పొందారా?
"00:02:29,107 --> 00:02:30,608",He's in the black Audi.,అతను బ్లాక్ ఆడిలో ఉన్నాడు.
"00:02:31,485 --> 00:02:32,527",What about Ronson?,రాన్సన్ గురించి ఏమిటి?
"00:02:32,653 --> 00:02:33,694",He's been hit.,అతను కొట్టబడ్డాడు.
"00:02:34,071 --> 00:02:35,905",We're sending an emergency evacuation squad.,మేము పంపుతున్నాము అత్యవసర పరిస్థితి తరలింపు బృందం.
"00:02:35,989 --> 00:02:37,615",They'll be too bloody late!,వారు చాలా ఆలస్యంగా ఉంటారు!
"00:02:37,908 --> 00:02:38,908",(TIRES SCREECHING),(టైర్లు స్క్రీచింగ్)
"00:02:39,076 --> 00:02:40,284",He's seen us.,అతను మమ్మల్ని చూశాడు.
"00:02:40,828 --> 00:02:42,829",Medical evac for Ronson five minutes away.,రోన్సన్ ఐదు నిమిషాల దూరంలో.
"00:02:49,336 --> 00:02:51,170",That's all right. You weren't using it.,అంతా సరే. మీరు దీన్ని ఉపయోగించలేదు.
"00:02:53,590 --> 00:02:55,591","I wasn't using that one, either.",నేను ఉపయోగించలేదు అది కూడా.
"00:03:40,971 --> 00:03:42,305",Keep your head down.,మీ తల క్రిందికి ఉంచండి.
"00:03:42,472 --> 00:03:44,015",(GUNFIRE BLASTING),(తుపాకీ కాల్పుల పేలుడు)
"00:04:17,341 --> 00:04:18,466",Just get clear!,క్లియర్ అవ్వండి!
"00:04:20,427 --> 00:04:22,053","Tanner, which way?","టాన్నర్, ఏ మార్గం?"
"00:04:22,179 --> 00:04:23,846",Keep going. I can direct you from here.,కొనసాగించండి. నేను మిమ్మల్ని ఇక్కడ నుండి నడిపించగలను.
"00:04:23,972 --> 00:04:25,514",You both know what's at stake here.,మీరిద్దరికీ తెలుసు ఇక్కడ ఏమి ఉంది.
"00:04:25,641 --> 00:04:27,183",We can't afford to lose that list.,మేము భరించలేము ఆ జాబితాను కోల్పోవటానికి.
"00:04:27,309 --> 00:04:28,309","Yes, ma'am.","అవును, మామ్."
"00:04:58,215 --> 00:04:59,465",EVE: Where are they now?,ఈవ్: వారు ఇప్పుడు ఎక్కడ ఉన్నారు?
"00:04:59,549 --> 00:05:02,009",They appear to be on the rooftops of the Grand Bazaar.,వారు కనిపిస్తారు పైకప్పులపై ఉండండి గ్రాండ్ బజార్.
"00:05:54,062 --> 00:05:56,272",Take a left. There's a bridge. You can cut him off.,ఎడమవైపు తీసుకోండి. ఒక వంతెన ఉంది. మీరు అతన్ని కత్తిరించవచ్చు.
"00:06:27,345 --> 00:06:28,554","Down, sir!","డౌన్, సార్!"
"00:06:28,972 --> 00:06:30,473",(TRAIN HORN BLARING),(రైలు హార్న్ బ్లేరింగ్)
"00:06:48,533 --> 00:06:50,409","What happened? They're on the train, ma'am.","ఏమి జరిగింది? వారు రైలులో ఉన్నారు, మామ్."
"00:06:50,494 --> 00:06:51,702",What do you mean on the train?,రైలులో మీ ఉద్దేశ్యం ఏమిటి?
"00:06:51,828 --> 00:06:53,079","I mean, they're on top of a train.","నా ఉద్దేశ్యం, వారు రైలు పైన ఉన్నారు."
"00:06:53,205 --> 00:06:54,622","Well, get after them, for God's sake!","బాగా, వారి వెంట వెళ్ళండి, దేవుని కొరకు!"
"00:07:25,195 --> 00:07:26,529",She's going out of range.,ఆమె పరిధి నుండి బయటపడింది.
