Timeline,en_dialogue,hindi_dialogue
"00:03:02,057 --> 00:03:04,016",She looks at me every day.,वह हर दिन मुझे देखती है.
"00:03:04,184 --> 00:03:05,977",Mary jane Watson.,मैरी जेन वॉटसन.
"00:03:06,144 --> 00:03:10,189","Oh, boy. lf she only knew how l felt about her.",ओह लड़का। यदि वह केवल जानती थी मुझे उसके बारे में कैसा महसूस हुआ.
"00:03:10,357 --> 00:03:12,149",But she can never know.,लेकिन वह कभी नहीं जान पाती.
"00:03:12,317 --> 00:03:15,778",I made a choice once to live a life of responsibility.,मैंने एक बार जीने का चुनाव किया जिम्मेदारी का जीवन.
"00:03:15,946 --> 00:03:18,239",A life she can never be a part of.,एक ऐसी जिंदगी जिसका वह कभी हिस्सा नहीं बन सकती।
"00:03:18,407 --> 00:03:19,699",Who am I?,मैं कौन हूँ?
"00:03:19,867 --> 00:03:22,451","I'm Spider-Man, given a job to do.","मैं स्पाइडर-मैन हूं, मुझे एक काम दिया गया है।"
"00:03:22,619 --> 00:03:25,621","And l'm Peter Parker, and I, too, have a job.","और मैं पीटर पार्कर हूं, और मेरे पास भी नौकरी है."
"00:03:25,789 --> 00:03:27,373",Parker. Parker!,पार्कर. पार्कर!
"00:03:27,833 --> 00:03:29,792","No, no, no, stop! Stop!","नहीं, नहीं, नहीं, रुको! रुकना!"
"00:03:31,211 --> 00:03:33,880","Parker, you're late, man. Always late.","पार्कर, तुम देर से आये, यार। हमेशा देरि से।"
"00:03:34,047 --> 00:03:36,966","I'm sorry, Mr. Aziz. There was a disturbance.","मुझे क्षमा करें, श्री अज़ीज़। खलबली मच गई."
"00:03:37,134 --> 00:03:39,427",Another disturbance. Always a disturbance with you.,एक और उपद्रव. तुम्हारे साथ हमेशा अशांति बनी रहती है.
"00:03:39,595 --> 00:03:42,388","Come on, 21 minutes ago, in comes order.","चलो, 21 मिनट पहले, क्रम में आता है."
"00:03:42,556 --> 00:03:46,142","Harmattan, Burton and Smith. Eight extra-large deep-dish pizzas.","हरमट्टन, बर्टन और स्मिथ। आठ अतिरिक्त बड़े डीप-डिश पिज़्ज़ा।"
"00:03:46,310 --> 00:03:49,186","In eight minutes, I am defaulting on Joe's 29-minute guarantee.","आठ मिनट में, मैं डिफॉल्ट कर रहा हूं जो की 29 मिनट की गारंटी।"
"00:03:49,354 --> 00:03:52,315","Then, not only am I receiving no money for these pizzas...","फिर, न केवल मैं प्राप्त कर रहा हूँ इन पिज़्ज़ा के लिए पैसे नहीं..."
"00:03:52,482 --> 00:03:55,151",...but l will lose the customer forever to Pizza Yurt.,...लेकिन मैं ग्राहक को हमेशा के लिए खो दूंगा पिज़्ज़ा यर्ट के लिए.
"00:03:55,319 --> 00:03:58,696","Look, you are my only hope, all right? You have to make it in time.","देखो, तुम ही मेरी एकमात्र आशा हो, ठीक है? आपको इसे समय पर बनाना होगा."
"00:03:58,864 --> 00:04:02,617","Peter, you're a nice guy. But you're just not dependable.","पीटर, तुम एक अच्छे आदमी हो। लेकिन आप बिल्कुल भी भरोसेमंद नहीं हैं।"
"00:04:02,993 --> 00:04:04,827",This is your last chance.,यह आपका अंतिम अवसर है।
"00:04:04,995 --> 00:04:09,749",You have to go 42 blocks in 7 1/2 minutes or your ass is fired.,आपको 42 ब्लॉक जाना होगा 7 1/2 मिनट में वरना आपकी गांड फट जाएगी।
"00:04:11,460 --> 00:04:13,336",Go!,जाना!
"00:04:35,609 --> 00:04:37,193","Hey, what, are you stupid?","अरे, क्या, तुम मूर्ख हो?"
"00:04:59,132 --> 00:05:02,301",Whoa! He stole that guy's pizzas!,वाह! उसने उस आदमी का पिज़्ज़ा चुरा लिया!
"00:05:11,019 --> 00:05:12,603",I'm gonna get it!,मैं इसे प्राप्त करने वाला हूँ!
"00:05:28,245 --> 00:05:30,579","Hey, you guys. No playing in the streets.",अरे सुनो दोस्तों। सड़कों पर खेलना मना है.
"00:05:30,747 --> 00:05:31,998","Yes, Mr. Spider-Man.","हाँ, मिस्टर स्पाइडर मैन।"
"00:05:32,290 --> 00:05:33,958",See you.,फिर मिलते हैं।
"00:05:35,127 --> 00:05:36,419","Way to go, Spidey!","जाने का रास्ता, स्पाइडी!"
"00:06:29,306 --> 00:06:31,182",Pizza time.,पिज्जा का समय।
"00:06:35,937 --> 00:06:37,521",You're late.,आप लेट है।
"00:06:38,482 --> 00:06:39,815",I'm not paying for those.,मैं उनके लिए भुगतान नहीं कर रहा हूं.
"00:06:57,959 --> 00:06:59,835","Joe's 29-minute guarantee is a promise, man.",जो की 29 मिनट की गारंटी एक वादा है यार.
"00:07:03,673 --> 00:07:08,177","I know to you, Parker, a promise means nothing. But to me, it's serious.","मैं तुमसे एक वादा जानता हूँ, पार्कर मतलब कुछ नहीं। लेकिन मेरे लिए यह गंभीर है।"
"00:07:08,845 --> 00:07:10,805","It's serious to me too, Mr. Aziz.","यह मेरे लिए भी गंभीर है, मिस्टर अज़ीज़।"
"00:07:10,972 --> 00:07:13,474","-You're fired. Go. -Please, l need this job.","-आपको बर्खास्त जाता है। जाना। -कृपया, मुझे यह नौकरी चाहिए।"
"00:07:13,642 --> 00:07:16,185","-You're fired. -Look, give me another chance.","-आपको बर्खास्त जाता है। -देखो, मुझे एक और मौका दो।"
"00:07:23,276 --> 00:07:24,610",You're fired.,आपको बर्खास्त जाता है।
"00:07:24,945 --> 00:07:26,946","-Parker, hello. You're fired. -Why?","-पार्कर, नमस्ते. आपको बर्खास्त जाता है। -क्यों?"
"00:07:27,113 --> 00:07:28,614",Dogs catching Frisbees?,कुत्ते फ्रिस्बीज़ पकड़ रहे हैं?
"00:07:28,782 --> 00:07:31,116",Pigeons in the park? A couple geezers playing chess?,पार्क में कबूतर? क्या कुछ गीज़र्स शतरंज खेल रहे हैं?
"00:07:31,284 --> 00:07:32,493",-Boss. -Not now.,-मालिक। -अभी नहीं।
"00:07:32,661 --> 00:07:35,412",The Bugle could show another side of New York for a change.,बिगुल दूसरा पक्ष दिखा सकता है बदलाव के लिए न्यूयॉर्क के.
"00:07:35,580 --> 00:07:38,499","We got six minutes to deadline, Jonah. We need page one.","हमें समय सीमा समाप्त होने में छह मिनट का समय मिला, जोना। हमें पेज एक चाहिए."
"00:07:38,667 --> 00:07:42,086",I don't pay you to be a sensitive artiste. I pay you-- Still not now!,मैं आपको एक संवेदनशील कलाकार होने के लिए भुगतान नहीं करता। मैं तुम्हें भुगतान करता हूँ--अभी भी नहीं!
"00:07:42,254 --> 00:07:44,839",I pay you because that psycho Spider-Man will pose for you.,मैं तुम्हें भुगतान करता हूं क्योंकि वह मनोरोगी है स्पाइडर-मैन आपके लिए पोज़ देगा।
"00:07:45,006 --> 00:07:46,757",He won't let me take any more pictures.,वह मुझे लेने नहीं देगा कोई और चित्र.
"00:07:46,925 --> 00:07:48,509",You turned the whole city against him.,आपने पूरे शहर का रुख बदल दिया उसके खिलाफ।
"00:07:48,677 --> 00:07:50,177",A fact l'm very proud of.,एक तथ्य जिस पर मुझे बहुत गर्व है।
"00:07:50,345 --> 00:07:54,139",Get your pretty little portfolio off my desk before I go into a diabetic coma.,अपना छोटा सा पोर्टफ़ोलियो मुझसे प्राप्त करें मधुमेह कोमा में जाने से पहले डेस्क।
"00:07:54,307 --> 00:07:57,643","-lt's your wife, she lost her checkbook. -Thanks for the good news.","-यह आपकी पत्नी है, उसकी चेकबुक खो गई है। -अच्छी खबर के लिए धन्यवाद."
"00:07:57,811 --> 00:08:01,146","Please, isn't there any of these shots you can use? I need the money.","कृपया, क्या इनमें से कोई शॉट नहीं है आप उपयोग कर सकते हैं? मुझे पैसों की जरुरत है।"
"00:08:02,524 --> 00:08:04,358",Miss Brant. Get me a violin.,मिस ब्रैंट. मेरे लिए एक वायलिन ले आओ.
"00:08:04,526 --> 00:08:06,235","Five minutes to deadline, Jonah.","समय-सीमा समाप्त होने में पाँच मिनट, जोना।"
"00:08:06,403 --> 00:08:09,113",Run a picture of a rancid chicken. Here's the headline:,बासी मुर्गे का चित्र चलाएँ। यहाँ शीर्षक है:
"00:08:09,281 --> 00:08:11,156","""Food Poisoning Scare Sweeps City.""","""खाद्य विषाक्तता के डर से शहर डूब गया।"""
"00:08:11,324 --> 00:08:13,659",-Some food got poisoned? -l'm a little nauseous.,-कुछ खाना जहरीला हो गया? -मुझे थोड़ा मिचली आ रही है।
