en_dialogue,Timeline,hindi_dialogue
- (suspenseful music playing) - (rain pattering),"00:00:29,064 --> 00:00:32,801",- (रहस्यमय संगीत बज रहा है) - (बारिश की थपकी)
(violent whooshing),"00:00:44,179 --> 00:00:46,347",(हिंसक चिल्लाहट)
(erupting),"00:00:52,154 --> 00:00:54,589",(विस्फोट)
(disembodied rhythmic stomping),"00:00:55,756 --> 00:00:58,426",(असंबद्ध लयबद्ध स्टॉम्पिंग)
(music intensifying),"00:00:58,459 --> 00:01:00,494",(संगीत तीव्र होता जा रहा है)
(stomping intensifying),"00:01:02,998 --> 00:01:05,533",(स्टॉम्पिंग तेज़)
- (stomping stops) - (exhales),"00:01:14,442 --> 00:01:16,178",- (पेट भरना बंद हो जाता है) - (साँस छोड़ते हुए)
(pensive music playing),"00:01:16,211 --> 00:01:18,446",(चिंतनशील संगीत बजाना)
GORDON GRAY: Dr. Oppenheimer.,"00:01:18,479 --> 00:01:20,514",गॉर्डन ग्रे: डॉ. ओपेनहाइमर।
Dr. Oppenheimer.,"00:01:21,515 --> 00:01:22,717",डॉ. ओपेनहाइमर।
"As we begin, I believe you have","00:01:24,052 --> 00:01:25,653","जैसे ही हम शुरू करते हैं, मुझे विश्वास है कि आपके पास है"
a statement to read into the record.,"00:01:25,686 --> 00:01:27,688",पढ़ने के लिए एक बयान रिकार्ड में.
"Yes, Your Honor.","00:01:29,523 --> 00:01:30,725","हाँ, माननीय."
"WARD EVANS: We're not judges, Doctor.","00:01:30,758 --> 00:01:32,861","वार्ड इवांस: हम हैं जज नहीं, डॉक्टर."
ROBERT: No.,"00:01:32,895 --> 00:01:33,929",रॉबर्ट: नहीं.
Of course.,"00:01:35,030 --> 00:01:36,430",बिल्कुल।
"Members of the security board,","00:01:41,636 --> 00:01:44,572","सुरक्षा बोर्ड के सदस्य,"
the so-called derogatory information,"00:01:44,605 --> 00:01:46,909",कहा गया अपमानजनक जानकारी
"in your indictment of me cannot be fairly understood,","00:01:46,942 --> 00:01:49,845","मेरे प्रति आपके अभियोग में ठीक से समझा नहीं जा सकता,"
except in the context of my life and my work.,"00:01:49,878 --> 00:01:53,714",संदर्भ को छोड़कर मेरे जीवन और मेरे काम का.
SENATE AIDE: How long did he testify?,"00:01:54,682 --> 00:01:56,919",सीनेट सहयोगी: कैसे उसने कब तक गवाही दी?
"Honestly, I forget.","00:01:56,952 --> 00:01:58,686",ईमानदारी से कहूं तो मैं भूल गया।
The whole hearing took a month.,"00:02:00,088 --> 00:02:02,057",पूरी सुनवाई में एक महीना लग गया.
"An ordeal, hmm?","00:02:02,090 --> 00:02:03,524","एक कठिन परीक्षा, हम्म?"
"Well, I've only read the transcripts.","00:02:03,557 --> 00:02:05,227","खैर, मैंने तो सिर्फ पढ़ा है प्रतिलेख."
(clears throat),"00:02:05,260 --> 00:02:06,727",(गले को साफ करता है)
Who'd want to justify their whole life?,"00:02:07,795 --> 00:02:09,530",कौन औचित्य देना चाहेगा उनका पूरा जीवन?
You weren't there?,"00:02:09,563 --> 00:02:10,798",तुम वहाँ नहीं थे?
"As chairman, I wasn't allowed to be.","00:02:10,832 --> 00:02:13,135","अध्यक्ष के रूप में, मैं होने की अनुमति नहीं थी."
Are they really going to ask about it?,"00:02:13,168 --> 00:02:15,736",क्या वे सचमुच जा रहे हैं? इसके बारे में पूछने के लिए?
- It was years ago. - Four years ago...,"00:02:15,770 --> 00:02:17,873",- यह वर्षों पहले की बात है। - चार वर्ष पहले...
Five.,"00:02:17,906 --> 00:02:18,941",पाँच।
Oppenheimer still divides America.,"00:02:19,808 --> 00:02:21,542",ओपेनहाइमर अभी भी अमेरिका को विभाजित करता है.
The committee is gonna want to know where you stood.,"00:02:21,575 --> 00:02:23,946",समिति चाहेगी यह जानने के लिए कि आप कहाँ खड़े हैं।
Senator Thurmond asked me to say,"00:02:23,979 --> 00:02:26,081",सीनेटर थरमंड ने मुझसे कहने के लिए कहा
