Timeline,en_dialogue,kannada_dialogue
"00:01:25,836 --> 00:01:27,920",Ronson's down.,ರಾನ್ಸನ್ ಡೌನ್.
"00:01:28,088 --> 00:01:29,589",He needs medical evac.,ಅವನಿಗೆ ವೈದ್ಯಕೀಯ ಇವಾಕ್ ಅಗತ್ಯವಿದೆ.
"00:01:29,673 --> 00:01:31,424",M (OVER EARPIECE): Where is it? Is it there?,ಎಂ (ಓವರ್ ಇಯರ್‌ಪೀಸ್): ಅದು ಎಲ್ಲಿದೆ? ಅದು ಇದೆಯೇ?
"00:01:31,508 --> 00:01:32,508",Hard drive's gone.,ಹಾರ್ಡ್ ಡ್ರೈವ್ ಹೋಗಿದೆ.
"00:01:33,177 --> 00:01:34,510",M: Are you sure?,ಎಂ: ನಿಮಗೆ ಖಚಿತವಾಗಿದೆಯೇ?
"00:01:38,056 --> 00:01:39,474",It's gone. Give me a minute.,ಅದು ಹೋಗಿದೆ. ನನಗೆ ಒಂದು ನಿಮಿಷ ನೀಡಿ.
"00:01:39,600 --> 00:01:41,517",They must have it. Get after them.,ಅವರು ಅದನ್ನು ಹೊಂದಿರಬೇಕು. ಅವರ ನಂತರ ಪಡೆಯಿರಿ.
"00:01:46,398 --> 00:01:47,523",I'm stabilizing Ronson.,ನಾನು ರಾನ್ಸನ್‌ನನ್ನು ಸ್ಥಿರಗೊಳಿಸುತ್ತಿದ್ದೇನೆ.
"00:01:47,691 --> 00:01:48,858",We don't have the time.,ನಮಗೆ ಸಮಯವಿಲ್ಲ.
"00:01:48,984 --> 00:01:50,526",I have to stop the bleeding !,ನಾನು ರಕ್ತಸ್ರಾವವನ್ನು ನಿಲ್ಲಿಸಬೇಕು!
"00:01:51,028 --> 00:01:52,612",Leave him!,ಅವನನ್ನು ಬಿಡಿ!
"00:02:27,189 --> 00:02:28,648",BOND: Have you got him?,ಬಾಂಡ್: ನೀವು ಅವನನ್ನು ಪಡೆದುಕೊಂಡಿದ್ದೀರಾ?
"00:02:29,107 --> 00:02:30,608",He's in the black Audi.,ಅವರು ಕಪ್ಪು ಆಡಿಯಲ್ಲಿದ್ದಾರೆ.
"00:02:31,485 --> 00:02:32,527",What about Ronson?,ರಾನ್ಸನ್ ಬಗ್ಗೆ ಏನು?
"00:02:32,653 --> 00:02:33,694",He's been hit.,ಅವನಿಗೆ ಹೊಡೆದಿದೆ.
"00:02:34,071 --> 00:02:35,905",We're sending an emergency evacuation squad.,ನಾವು ಕಳುಹಿಸುತ್ತಿದ್ದೇವೆ ತುರ್ತು ಪರಿಸ್ಥಿತಿ ಸ್ಥಳಾಂತರಿಸುವ ತಂಡ.
"00:02:35,989 --> 00:02:37,615",They'll be too bloody late!,ಅವರು ತಡವಾಗಿ ತುಂಬಾ ರಕ್ತಸಿಕ್ತರಾಗುತ್ತಾರೆ!
"00:02:37,908 --> 00:02:38,908",(TIRES SCREECHING),(ಟೈರ್ ಸ್ಕ್ರೀಚಿಂಗ್)
"00:02:39,076 --> 00:02:40,284",He's seen us.,ಅವನು ನಮ್ಮನ್ನು ನೋಡಿದ್ದಾನೆ.
"00:02:40,828 --> 00:02:42,829",Medical evac for Ronson five minutes away.,ರಾನ್ಸನ್‌ಗೆ ವೈದ್ಯಕೀಯ ಇವಾಕ್ ಐದು ನಿಮಿಷಗಳ ದೂರ.
"00:02:49,336 --> 00:02:51,170",That's all right. You weren't using it.,ಅದು ಸರಿ. ನೀವು ಅದನ್ನು ಬಳಸುತ್ತಿರಲಿಲ್ಲ.
"00:02:53,590 --> 00:02:55,591","I wasn't using that one, either.",ನಾನು ಬಳಸುತ್ತಿರಲಿಲ್ಲ ಅದು ಕೂಡ.
"00:03:40,971 --> 00:03:42,305",Keep your head down.,ನಿಮ್ಮ ತಲೆಯನ್ನು ಕೆಳಕ್ಕೆ ಇರಿಸಿ.
"00:03:42,472 --> 00:03:44,015",(GUNFIRE BLASTING),(ಗುಂಡಿನ ಸ್ಫೋಟ)
"00:04:17,341 --> 00:04:18,466",Just get clear!,ಸ್ಪಷ್ಟಪಡಿಸಿ!
"00:04:20,427 --> 00:04:22,053","Tanner, which way?","ಟ್ಯಾನರ್, ಯಾವ ಮಾರ್ಗ?"
"00:04:22,179 --> 00:04:23,846",Keep going. I can direct you from here.,ಮುಂದುವರಿಯಿರಿ. ನಾನು ನಿಮ್ಮನ್ನು ಇಲ್ಲಿಂದ ನಿರ್ದೇಶಿಸಬಹುದು.
"00:04:23,972 --> 00:04:25,514",You both know what's at stake here.,ನೀವಿಬ್ಬರೂ ಗೊತ್ತು ಇಲ್ಲಿ ಏನಿದೆ.
"00:04:25,641 --> 00:04:27,183",We can't afford to lose that list.,ನಮಗೆ ಭರಿಸಲಾಗುವುದಿಲ್ಲ ಆ ಪಟ್ಟಿಯನ್ನು ಕಳೆದುಕೊಳ್ಳಲು.
"00:04:27,309 --> 00:04:28,309","Yes, ma'am.","ಹೌದು, ಮಾಮ್."
"00:04:58,215 --> 00:04:59,465",EVE: Where are they now?,ಈವ್: ಅವರು ಈಗ ಎಲ್ಲಿದ್ದಾರೆ?
"00:04:59,549 --> 00:05:02,009",They appear to be on the rooftops of the Grand Bazaar.,ಅವರು ಕಾಣಿಸಿಕೊಳ್ಳುತ್ತಾರೆ ಮೇಲ್ oft ಾವಣಿಯಲ್ಲಿರಿ ಗ್ರ್ಯಾಂಡ್ ಬಜಾರ್.
"00:05:54,062 --> 00:05:56,272",Take a left. There's a bridge. You can cut him off.,ಎಡ ತೆಗೆದುಕೊಳ್ಳಿ. ಸೇತುವೆ ಇದೆ. ನೀವು ಅವನನ್ನು ಕತ್ತರಿಸಬಹುದು.
"00:06:27,345 --> 00:06:28,554","Down, sir!","ಕೆಳಗೆ, ಸರ್!"
"00:06:28,972 --> 00:06:30,473",(TRAIN HORN BLARING),(ರೈಲು ಹಾರ್ನ್ ಬ್ಲೇರಿಂಗ್)
"00:06:48,533 --> 00:06:50,409","What happened? They're on the train, ma'am.","ಏನಾಯಿತು? ಅವರು ರೈಲಿನಲ್ಲಿದ್ದಾರೆ, ಮಾಮ್."
"00:06:50,494 --> 00:06:51,702",What do you mean on the train?,ರೈಲಿನಲ್ಲಿ ನೀವು ಏನು ಹೇಳುತ್ತೀರಿ?
"00:06:51,828 --> 00:06:53,079","I mean, they're on top of a train.","ನನ್ನ ಪ್ರಕಾರ, ಅವರು ರೈಲಿನ ಮೇಲೆ ಇದ್ದಾರೆ."
"00:06:53,205 --> 00:06:54,622","Well, get after them, for God's sake!","ಸರಿ, ಅವರ ನಂತರ ಪಡೆಯಿರಿ, ದೇವರ ಸಲುವಾಗಿ!"
"00:07:25,195 --> 00:07:26,529",She's going out of range.,ಅವಳು ವ್ಯಾಪ್ತಿಯಿಂದ ಹೊರಹೋಗುತ್ತಿದ್ದಾಳೆ.
"00:07:26,655 --> 00:07:27,988",We've lost tracking. We're blind here.,ನಾವು ಟ್ರ್ಯಾಕಿಂಗ್ ಕಳೆದುಕೊಂಡಿದ್ದೇವೆ. ನಾವು ಇಲ್ಲಿ ಕುರುಡರಾಗಿದ್ದೇವೆ.
"00:07:28,115 --> 00:07:29,990",What's going on? I'm still with them.,ಏನು ನಡೆಯುತ್ತಿದೆ? ನಾನು ಇನ್ನೂ ಅವರೊಂದಿಗೆ ಇದ್ದೇನೆ.
"00:07:30,117 --> 00:07:32,201","Get me CCTV, satellite, anything !","ನನಗೆ ಸಿಸಿಟಿವಿ ಪಡೆಯಿರಿ, ಉಪಗ್ರಹ, ಏನು!"
"00:08:22,169 --> 00:08:23,502",M: What was that?,ಎಂ: ಅದು ಏನು?
"00:08:24,087 --> 00:08:25,087",VW Beetles.,ವಿಡಬ್ಲ್ಯೂ ಜೀರುಂಡೆಗಳು.
"00:08:25,672 --> 00:08:26,755",I think.,ನನ್ನ ಪ್ರಕಾರ.
"00:08:51,781 --> 00:08:54,366",Bond ! He's uncoupling the cars.,ಬಾಂಡ್! ಅವನು ಕಾರುಗಳನ್ನು ಬಿಚ್ಚುತ್ತಿದ್ದಾನೆ.
"00:09:32,739 --> 00:09:34,156","M: 007, are you all right?","ಎಂ: 007, ನೀವೆಲ್ಲರೂ ಸರಿಯಾಗಿದ್ದೀರಾ?"
"00:09:34,658 --> 00:09:36,325",Just changing carriages.,ಕೇವಲ ಗಾಡಿಗಳನ್ನು ಬದಲಾಯಿಸುವುದು.
"00:09:38,203 --> 00:09:39,912",What's going on? Report!,ಏನು ನಡೆಯುತ್ತಿದೆ? ವರದಿ!
"00:09:40,038 --> 00:09:41,747","It's rather hard to explain, ma'am.","ಇದು ಕಷ್ಟ ವಿವರಿಸಲು, ಮಾಮ್."
"00:09:41,998 --> 00:09:43,540",007's still in pursuit.,007 ಇನ್ನೂ ಅನ್ವೇಷಣೆಯಲ್ಲಿದೆ.
"00:10:48,231 --> 00:10:50,149",Looks like there isn't much more road.,ಅಲ್ಲಿ ಕಾಣುತ್ತದೆ ಹೆಚ್ಚು ರಸ್ತೆ ಅಲ್ಲ.
"00:10:50,275 --> 00:10:52,234",I don't think I can go any further.,ನಾನು ಯೋಚಿಸುವುದಿಲ್ಲ ಮುಂದೆ ಹೋಗಬಹುದು.
"00:11:26,770 --> 00:11:28,270",I may have a shot.,ನಾನು ಶಾಟ್ ಹೊಂದಿರಬಹುದು.
"00:11:35,445 --> 00:11:36,612",It's not clean.,ಇದು ಸ್ವಚ್ clean ವಾಗಿಲ್ಲ.
"00:11:36,863 --> 00:11:38,364","Repeat, I do not have a clean shot.","ಪುನರಾವರ್ತಿಸಿ, ನನ್ನ ಬಳಿ ಇಲ್ಲ ಕ್ಲೀನ್ ಶಾಟ್."
"00:11:45,789 --> 00:11:47,831",There's a tunnel ahead. I'm gonna lose them.,ಮುಂದೆ ಸುರಂಗವಿದೆ. ನಾನು ಅವರನ್ನು ಕಳೆದುಕೊಳ್ಳುತ್ತೇನೆ.
"00:11:48,083 --> 00:11:49,625",Can you get into a better position?,ನೀವು ಪ್ರವೇಶಿಸಬಹುದೇ? ಉತ್ತಮ ಸ್ಥಾನ?
"00:11:49,793 --> 00:11:51,335",Negative. There's no time.,ನಕಾರಾತ್ಮಕ. ಸಮಯವಿಲ್ಲ.
"00:11:53,421 --> 00:11:54,463",Take the shot.,ಶಾಟ್ ತೆಗೆದುಕೊಳ್ಳಿ.
"00:11:56,424 --> 00:11:57,758",I said take the shot.,ನಾನು ಶಾಟ್ ತೆಗೆದುಕೊಳ್ಳಿ ಎಂದು ಹೇಳಿದೆ.
"00:11:59,386 --> 00:12:00,803",I can't! I may hit Bond.,ನನಗೆ ಸಾಧ್ಯವಿಲ್ಲ! ನಾನು ಬಾಂಡ್ ಅನ್ನು ಹೊಡೆಯಬಹುದು.
"00:12:00,970 --> 00:12:02,137",Take the bloody shot!,ರಕ್ತಸಿಕ್ತ ಶಾಟ್ ತೆಗೆದುಕೊಳ್ಳಿ!
"00:12:02,305 --> 00:12:03,305",(GUNSHOT),(ಗುಂಡೇಟು)
"00:12:25,370 --> 00:12:26,870",Agent down.,ಏಜೆಂಟ್ ಡೌನ್.
"00:13:14,252 --> 00:13:16,753",This is the end,ಇದು ಅಂತ್ಯ
"00:13:18,840 --> 00:13:23,844",Hold your breath and count to ten,ನಿಮ್ಮ ಉಸಿರನ್ನು ಹಿಡಿದುಕೊಳ್ಳಿ ಮತ್ತು ಹತ್ತು ಎಂದು ಎಣಿಸಿ
"00:13:25,346 --> 00:13:30,601",Feel the earth move and then,ಭೂಮಿಯ ಚಲನೆಯನ್ನು ಅನುಭವಿಸಿ ಮತ್ತು ನಂತರ
"00:13:31,811 --> 00:13:37,858",Hear my heart burst again,ನನ್ನ ಹೃದಯ ಮತ್ತೆ ಸ್ಫೋಟವನ್ನು ಕೇಳಿ
"00:13:39,402 --> 00:13:42,237",For this is the end,ಇದು ಅಂತ್ಯ
"00:13:44,240 --> 00:13:49,286",I've drowned and dreamt this moment,ನಾನು ಮುಳುಗಿದ್ದೇನೆ ಮತ್ತು ಈ ಕ್ಷಣವನ್ನು ಕನಸು ಕಂಡರು
"00:13:50,705 --> 00:13:55,918","So overdue, I owe them","ಆದ್ದರಿಂದ ಮಿತಿಮೀರಿದ, ನಾನು ಅವರಿಗೆ ow ಣಿಯಾಗಿದ್ದೇನೆ"
"00:13:57,504 --> 00:14:02,674","Swept away, I'm stolen","ನುಗ್ಗಿ, ನಾನು ಕದ್ದಿದ್ದೇನೆ"
"00:14:05,094 --> 00:14:07,971",Let the sky fall,ಆಕಾಶ ಬೀಳಲಿ
"00:14:08,097 --> 00:14:10,849",When it crumbles,ಅದು ಕುಸಿಯುವಾಗ
"00:14:11,351 --> 00:14:14,186",We will stand tall,ನಾವು ಎತ್ತರವಾಗಿ ನಿಲ್ಲುತ್ತೇವೆ
"00:14:14,270 --> 00:14:16,605",And face it all together,ಮತ್ತು ಎಲ್ಲವನ್ನೂ ಒಟ್ಟಿಗೆ ಎದುರಿಸಿ
"00:14:16,898 --> 00:14:19,066",At Skyfall,ಸ್ಕೈಫಾಲ್ನಲ್ಲಿ
"00:14:23,404 --> 00:14:26,657",Skyfall is where we start,ನಾವು ಪ್ರಾರಂಭಿಸುವ ಸ್ಥಳ ಸ್ಕೈಫಾಲ್
