en_dialogue,Timeline,tamil_dialogue
- (suspenseful music playing) - (rain pattering),"00:00:29,064 --> 00:00:32,801",- (சஸ்பென்ஸ்ஃபுல் மியூசிக் பிளேயிங்) - (மழை பெய்கிறது)
(violent whooshing),"00:00:44,179 --> 00:00:46,347",(வன்முறையான கூச்சல்)
(erupting),"00:00:52,154 --> 00:00:54,589",(வெடிப்பு)
(disembodied rhythmic stomping),"00:00:55,756 --> 00:00:58,426",(உடலற்ற தாள அடித்தல்)
(music intensifying),"00:00:58,459 --> 00:01:00,494",(இசை தீவிரமடைகிறது)
(stomping intensifying),"00:01:02,998 --> 00:01:05,533",(ஸ்டாம்பிங் தீவிரமடைகிறது)
- (stomping stops) - (exhales),"00:01:14,442 --> 00:01:16,178",- (ஸ்டாம்பிங் நிறுத்தங்கள்) - (வெளியேறும்)
(pensive music playing),"00:01:16,211 --> 00:01:18,446",(சிந்திக்கும் இசை வாசித்தல்)
GORDON GRAY: Dr. Oppenheimer.,"00:01:18,479 --> 00:01:20,514",கோர்டன் கிரே: டாக்டர் ஓபன்ஹைமர்.
Dr. Oppenheimer.,"00:01:21,515 --> 00:01:22,717",டாக்டர் ஓபன்ஹெய்மர்.
"As we begin, I believe you have","00:01:24,052 --> 00:01:25,653","நாங்கள் தொடங்கும்போது, ​​உங்களிடம் இருப்பதாக நான் நம்புகிறேன்"
a statement to read into the record.,"00:01:25,686 --> 00:01:27,688",படிக்க வேண்டிய அறிக்கை பதிவில்.
"Yes, Your Honor.","00:01:29,523 --> 00:01:30,725","ஆம், யுவர் ஆனர்."
"WARD EVANS: We're not judges, Doctor.","00:01:30,758 --> 00:01:32,861","வார்டு எவன்ஸ்: நாங்கள் நீதிபதிகள் அல்ல, டாக்டர்."
ROBERT: No.,"00:01:32,895 --> 00:01:33,929",ராபர்ட்: இல்லை.
Of course.,"00:01:35,030 --> 00:01:36,430",நிச்சயமாக.
"Members of the security board,","00:01:41,636 --> 00:01:44,572","பாதுகாப்பு குழு உறுப்பினர்கள்,"
the so-called derogatory information,"00:01:44,605 --> 00:01:46,909",என்று அழைக்கப்படுபவை இழிவான தகவல்
"in your indictment of me cannot be fairly understood,","00:01:46,942 --> 00:01:49,845",என் மீதான உங்கள் குற்றச்சாட்டில் சரியாக புரிந்து கொள்ள முடியாது
except in the context of my life and my work.,"00:01:49,878 --> 00:01:53,714",சூழலில் தவிர என் வாழ்க்கை மற்றும் என் வேலை.
SENATE AIDE: How long did he testify?,"00:01:54,682 --> 00:01:56,919",செனட் உதவியாளர்: எப்படி அவர் நீண்ட காலமாக சாட்சியம் அளித்தாரா?
"Honestly, I forget.","00:01:56,952 --> 00:01:58,686","நேர்மையாக, நான் மறந்துவிட்டேன்."
The whole hearing took a month.,"00:02:00,088 --> 00:02:02,057",முழு விசாரணையும் ஒரு மாதம் ஆனது.
"An ordeal, hmm?","00:02:02,090 --> 00:02:03,524","ஒரு சோதனை, ம்ம்?"
"Well, I've only read the transcripts.","00:02:03,557 --> 00:02:05,227","சரி, நான் தான் படித்தேன் டிரான்ஸ்கிரிப்டுகள்."
(clears throat),"00:02:05,260 --> 00:02:06,727",(தொண்டையை சுத்தப்படுத்துகிறது)
Who'd want to justify their whole life?,"00:02:07,795 --> 00:02:09,530",யார் நியாயப்படுத்த விரும்புவார்கள் அவர்களின் வாழ்நாள் முழுவதும்?
You weren't there?,"00:02:09,563 --> 00:02:10,798",நீங்கள் அங்கு இல்லையா?
"As chairman, I wasn't allowed to be.","00:02:10,832 --> 00:02:13,135","தலைவராக, ஐ இருக்க அனுமதிக்கப்படவில்லை."
Are they really going to ask about it?,"00:02:13,168 --> 00:02:15,736",அவர்கள் உண்மையில் செல்கிறார்களா அதை பற்றி கேட்க?
- It was years ago. - Four years ago...,"00:02:15,770 --> 00:02:17,873",- இது பல ஆண்டுகளுக்கு முன்பு. - நான்கு ஆண்டுகளுக்கு முன்பு...
