en_dialogue,Timeline,hindi_dialogue
(Sonar pings),"00:01:45,714 --> 00:01:47,705",(सोनार पिंग्स)
13 metres. You should see it.,"00:01:50,674 --> 00:01:53,711",13 मीटर तुम्हे ये देखना चाहिये।
Okay. Take her up and over the bow rail.,"00:02:06,154 --> 00:02:09,271",ठीक है। उसे ऊपर और धनुष रेल पर ले जाओ।
"<i>Okay, Mir 2, we're going over the bow.</i> <i>Stay with us.</i>",,
(Mechanical whirring),"00:02:38,114 --> 00:02:40,105",(मैकेनिकल whirring)
"Okay, quiet. We're rolling.","00:02:45,954 --> 00:02:48,070","ठीक है, चुप रहो। हम रोलिंग कर रहे हैं"
Seeing her coming out of the darkness like a ghost ship...,"00:02:48,154 --> 00:02:51,829",उसे बाहर आने के बारे में देख रहे हैं एक भूत जहाज की तरह अंधेरे का ...
..still gets me every time.,"00:02:51,914 --> 00:02:53,632",.. मुझे हर बार मिल जाता है।
To see the sad ruin of the great ship sitting here...,"00:02:53,714 --> 00:02:58,310",उदास बर्बाद देखने के लिए यहां बैठे महान जहाज का ...
"..where she landed at 2:30 in the morning of April 15, 1912,...","00:02:58,394 --> 00:03:03,832","..वह वह 2:30 बजे उतरा 15 अप्रैल, 1 9 12 की सुबह, ..."
..after her long fall...,"00:03:03,874 --> 00:03:05,990",उसके बाद उसके लंबे पतन ...
..from the world above.,"00:03:06,994 --> 00:03:08,985",.. ऊपर की दुनिया से।
"You are so full of shit, boss!","00:03:09,714 --> 00:03:11,750","तुम इतने भरे हुए हो, बॉस!"
(Sonar pinging),"00:03:15,154 --> 00:03:17,145",(सोनार पिंगिंग)
Dive six - here we are again on the deck of Titanic.,"00:03:39,794 --> 00:03:43,707",छिद्र छः - हम फिर से हैं टाइटैनिक के डेक पर।
"2 1/2 miles down, 3,821 meters.","00:03:43,834 --> 00:03:49,670","2 1/2 मील नीचे, 3,821 मीटर।"
The pressure outside is 3 1/2 tons per square inch.,"00:03:49,754 --> 00:03:53,030",बाहर दबाव प्रति वर्ग इंच 3 1/2 टन है।
These windows are nine inches thick.,"00:03:53,114 --> 00:03:55,423",ये खिड़कियां नौ इंच मोटी हैं।
"If they go, it's sayonara in two microseconds.","00:03:55,514 --> 00:03:59,348","अगर वे जाते हैं, यह दो microseconds में Sayonara है।"
All right. Enough of that bullshit.,"00:03:59,434 --> 00:04:02,028",ठीक है। उस बकवास के पर्याप्त।
Put her down on the roof of the officers' quarters.,"00:04:15,194 --> 00:04:18,425",उसे छत पर रखो अधिकारियों के क्वार्टरों का।
Sure.,"00:04:18,594 --> 00:04:19,709",ज़रूर।
"<i>Okay, Mir 2.</i>",,
<i>We've landed on the grand staircase.</i> <i>You guys set to launch?</i>,,
"Yeah. Launching Dunkin now. Go, Charlie.","00:04:25,434 --> 00:04:27,994","हाँ। अब डंकिन लॉन्च करना जाओ, चार्ली।"
- Tether out. - Tether out.,"00:04:35,514 --> 00:04:37,823",- टिथर बाहर। - टिथर बाहर।
"Okay, Brock, we're dropping down along the hull.","00:04:37,914 --> 00:04:41,907","ठीक है, ब्रॉक, हम पतवार के साथ नीचे गिर रहे हैं।"
"Roger that. Okay, drop down and go into the first-class gangway door.","00:04:43,034 --> 00:04:47,550","ठीक है। ठीक है, नीचे जाओ और जाओ प्रथम श्रेणी के गैंगवे दरवाजे में।"
"I want you guys working the ""D"" deck, reception and the dining saloon.","00:04:47,634 --> 00:04:51,593","मैं चाहता हूं कि आप लोग ""डी"" डेक काम कर रहे हों, रिसेप्शन और डाइनिंग सैलून।"
Copy that.,"00:04:51,674 --> 00:04:53,505",उस की नकल करें।
- Now left. - I'm coming left.,"00:05:01,194 --> 00:05:03,230",- अब छोड़ दिया। - मैं बाएं आ रहा हूँ।
Brock: <i>Snoop Dog is on the move.</i>,,
<i>We're headed down the stairwell.</i>,,
"Okay, Lewis. Drop down to ""B"" deck.","00:05:17,234 --> 00:05:19,304","ठीक है, लुईस। ""बी"" डेक पर ड्रॉप करें।"
"Okay. ""A"" deck.","00:05:19,394 --> 00:05:20,622","ठीक है। ""एक डेक।"
"Lewis: Give me some rope, Captain.","00:05:20,714 --> 00:05:22,705","लुईस: मुझे कुछ रस्सी दें, कप्तान।"
"""B"" deck. Get in there.","00:05:22,794 --> 00:05:23,783","""बी"" डेक। वहां जाओ।"
Brock: Watch the doorframe.,"00:06:00,474 --> 00:06:02,704",ब्रॉक: दरवाजा फ्रेम देखें।
I see it. I got it.,"00:06:02,794 --> 00:06:04,512",मैँ इसे देखता हूँ। मैं समझ गया।
(Banging),"00:06:04,594 --> 00:06:06,027",(पिटाई)
"<font color=""","00:06:08,074 --> 00:06:09,666","<फ़ॉन्ट रंग = """
"We're good... Just chill, boss.","00:06:09,754 --> 00:06:11,631","हम अच्छे हैं ... बस शांत, मालिक।"
Brock: Make your turn.,"00:06:25,394 --> 00:06:27,225",ब्रॉक: अपनी बारी बनाओ।
"- Lewis: Cable out, Captain. - Make your turn.","00:06:27,314 --> 00:06:30,306","- लुईस: केबल आउट, कप्तान। - अपनी बारी बनाओ।"
"Brock, we're at the piano. You copy?","00:06:30,394 --> 00:06:32,703","ब्रॉक, हम पियानो में हैं। आप कॉपी करते हैं?"
"Brock: <i>Okay, copy that.</i>",,
"Brock: Right there, that's it!","00:06:41,674 --> 00:06:44,108","ब्रॉक: ठीक है, यही वह है!"
- That's the bedroom door! - I see it... I see it.,"00:06:44,194 --> 00:06:47,266",- वह शयनकक्ष का दरवाजा है! - मैं इसे देखता हूं ... मैं इसे देखता हूं।
We're in!,"00:06:55,754 --> 00:06:56,948",में थे!
"We're in, baby, we're there!","00:06:57,034 --> 00:06:59,753","हम अंदर हैं, बच्चे, हम वहाँ हैं!"
Brock: That's Hockley's bed.,"00:06:59,834 --> 00:07:02,109",ब्रॉक: यह हॉकी का बिस्तर है।
That's where the son of a bitch slept.,"00:07:02,194 --> 00:07:04,754",यही वह जगह है जहां एक कुतिया का बेटा सो गया था।
Lewis: Somebody left the water running.,"00:07:09,874 --> 00:07:12,593",लुईस: किसी ने पानी चल रहा है।
Hold it. Go back to the right.,"00:07:12,674 --> 00:07:15,234",इसे पकड़ो। दाईं ओर वापस जाओ।
That wardrobe door... Get closer.,"00:07:21,114 --> 00:07:23,753",वह अलमारी दरवाजा ... करीब आ जाओ।
"- You smelling something, boss? - I wanna see what's under it.","00:07:23,834 --> 00:07:27,144","- आप कुछ गंध, बॉस? - मैं देखना चाहता हूं कि इसके तहत क्या है।"
"Gimme my hands, man.","00:07:27,234 --> 00:07:28,667","मेरे हाथ, आदमी।"
All right...!,"00:07:33,834 --> 00:07:35,426",ठीक है...!
- Take it easy. It might come apart. - Okay.,"00:07:36,914 --> 00:07:40,509",- आराम से। यह अलग हो सकता है। - ठीक है।
"Go! Go, go, go!","00:07:40,594 --> 00:07:41,822",चले जाओ! जाओ जाओ जाओ!
"Flip it over, flip it over. Go.","00:07:41,914 --> 00:07:43,870","इसे फ्लिप करें, इसे फ़्लिप करें। चले जाओ।"
"Keep going. Go, go, go.","00:07:43,954 --> 00:07:46,593",बढ़ा चल। जाओ जाओ जाओ।
Okay. Drop it.,"00:07:46,674 --> 00:07:47,823",ठीक है। जाने दो।
"Oh, baby, baby... Are you seeing this, boss?","00:07:56,354 --> 00:07:59,710","ओह, बेबी, बेबी ... क्या आप इसे देख रहे हैं, बॉस?"
"It's payday, boys.","00:08:01,714 --> 00:08:03,705","यह payday, लड़के है।"
(Cheering),"00:08:15,554 --> 00:08:17,545",(जयकार)
Ka-ching!,"00:08:19,434 --> 00:08:21,186",Ka-चिंग!
"We did it, Bobby!","00:08:21,274 --> 00:08:22,912","हमने यह किया, बॉबी!"
"Lewis: Oh, yeah! Who's the man!","00:08:22,994 --> 00:08:25,952","लुईस: ओह, हाँ! यह आदमी कौन है!"
"Who's the best, baby?","00:08:26,034 --> 00:08:27,831","सबसे अच्छा कौन है, बेबी?"
"Say it, say it.","00:08:27,914 --> 00:08:29,313","कहो, इसे कहो।"
"You are, Lewis.","00:08:29,394 --> 00:08:31,271","तुम हो, लुईस।"
(Loud buzzing),"00:08:31,354 --> 00:08:33,424",(जोर से गूंजना)
"- Bobby, my cigar. - Right here.","00:08:33,514 --> 00:08:35,470","- बॉबी, मेरे सिगार। - यहीं।"
"Okay, crack her open.","00:08:42,714 --> 00:08:44,784","ठीक है, उसे खोलो।"
- Let me get around. Hang on. - You getting it?,"00:08:46,794 --> 00:08:50,548",- मुझे चारों ओर घूमने दो। डटे रहो। - आप इसे प्राप्त कर रहे हैं?
Shit.,"00:09:13,194 --> 00:09:15,071",मल।
No diamond.,"00:09:15,714 --> 00:09:17,432",कोई हीरा नहीं
"You know, boss,...","00:09:17,514 --> 00:09:19,391","आप जानते हैं, बॉस, ..."
"..the same thing happened to Geraldo, and his career never recovered.","00:09:19,474 --> 00:09:24,468",".. Geraldo के साथ एक ही बात हुई, और उसका करियर कभी नहीं बरामद हुआ।"
Turn the camera off.,"00:09:26,234 --> 00:09:28,190",कैमरा बंद करें।
"Brock, the partners would like to know how it's going.","00:09:28,274 --> 00:09:32,426","ब्रॉक, साझेदार होगा यह जानना पसंद है कि यह कैसा चल रहा है।"
"Hey, Dave. Barry. Hi. Look, it wasn't in the safe, but hey...","00:09:32,514 --> 00:09:36,302","अरे, डेव। बैरी। नमस्ते। देखो, यह सुरक्षित में नहीं था, लेकिन हे ..."
..don't worry about it. There's plenty of places it could be.,"00:09:36,394 --> 00:09:40,273",.. इसके बारे में चिंता मत करो। वहां बहुत सारे स्थान हो सकते हैं।
"The floor debris, the mother's room...","00:09:40,354 --> 00:09:42,424","फर्श मलबे, मां का कमरा ..."
"- Purser's safe on ""C"" deck. - Jimmy Hoffa's briefcase.","00:09:42,514 --> 00:09:44,903","- ""सी"" डेक पर पर्सर सुरक्षित है। जिमी होफा का ब्रीफ़केस।"
Brock: A dozen other places.,"00:09:44,994 --> 00:09:46,632",ब्रॉक: एक दर्जन अन्य जगहें।
You've got to trust my instincts. I know we're close.,"00:09:46,714 --> 00:09:49,911",आपको मेरी सहजता पर भरोसा करना है। मुझे पता है कि हम करीब हैं।
We just got to go through a process of elimination.,"00:09:49,994 --> 00:09:53,430",हमें बस जाना है उन्मूलन की प्रक्रिया।
Hang on a second.,"00:09:53,514 --> 00:09:55,505",एक सेकंड इंतज़ार करो।
Let me see that.,"00:09:57,474 --> 00:09:59,465",मुझे वह देखने दो।
"We might have something here, guys.","00:09:59,514 --> 00:10:01,391","हमारे यहां कुछ लोग हो सकते हैं, दोस्तों।"
Where's the photo of the necklace?,"00:10:02,914 --> 00:10:05,508",हार की तस्वीर कहां है?
- We'll call you right back. - Holy...,"00:10:05,554 --> 00:10:08,193",- हम आपको वापस बुलाएंगे। - पवित्र ...
I'll be goddamned.,"00:10:17,754 --> 00:10:19,745",मैं भगवान बन जाऊंगा।
(TV) <i>Treasure hunter Brock Lovett</i> <i>is best known for finding Spanish gold...</i>,,
It's okay. I'll feed you in a minute.,"00:10:25,714 --> 00:10:28,547",ठीक है। मैं आपको एक मिनट में खिलाऊंगा।
<i>He's chartered a Russian sub to reach</i> <i>the most famous wreck of all: Titanic.</i>,,
<i>He's with us live via satellite from</i> <i>the Keldysh in the North Atlantic.</i>,,
"<i>- Hello, Brock.</i> <i>- Hello, Tracy.</i>",,
"<i>Everyone knows</i> <i>the stories of Titanic,...</i>",,
"<i>..the nobility,</i> <i>the band playing and all that.</i>",,
"<i>I'm interested in the untold stories,</i> <i>the secrets deep inside the hull.</i>",,
<i>We're using robot technology</i> <i>to go further into the wreck...</i>,,
<i>..than anybody's ever done before.</i>,,
<i>You're at the centre of a controversy...</i>,,
"<i>..over salvage rights, and ethics.</i> <i>Many are calling you a grave robber.</i>",,
"<i>Nobody called the recovery</i> <i>of King Tut ""grave robbing"".</i>",,
"- What is it? - Turn that up, dear.","00:11:06,754 --> 00:11:09,393","- यह क्या है? - इसे चालू करो, प्रिये।"
<i>I have museum-trained experts here...</i>,,
<i>..making sure these relics</i> <i>are treated properly.</i>,,
<i>Look at this drawing</i> <i>we found just today.</i>,,
<i>A piece of paper that's been</i> <i>underwater for 84 years...</i>,,
<i>..and my team were able</i> <i>to preserve it intact.</i>,,
<i>Should this have remained unseen</i> <i>at the bottom of the ocean for eternity?</i>,,
Brock! There's a satellite call for you.,"00:11:34,714 --> 00:11:37,672",ब्रॉक! आपके लिए एक उपग्रह कॉल है।
"Bobby, we're launching. You see these submersibles going in?","00:11:37,754 --> 00:11:41,588","बॉबी, हम लॉन्च कर रहे हैं। आप इन submersibles में जा रहे हैं?"
"Trust me, buddy. You wanna take this call.","00:11:41,674 --> 00:11:44,234","मेरा विश्वास करो, दोस्त। आप यह कॉल लेना चाहते हैं।"
