en_dialogue,Timeline,telugu_dialogue
(Sonar pings),"00:01:45,714 --> 00:01:47,705",(సోనార్ పింగ్స్)
13 metres. You should see it.,"00:01:50,674 --> 00:01:53,711",13 మీటర్లు. మీరు దానిని చూడాలి.
Okay. Take her up and over the bow rail.,"00:02:06,154 --> 00:02:09,271",సరే. ఆమెను విల్లు రైలు పైకి తీసుకెళ్లండి.
"<i>Okay, Mir 2, we're going over the bow.</i> <i>Stay with us.</i>",,
(Mechanical whirring),"00:02:38,114 --> 00:02:40,105",(మెకానికల్ వర్రింగ్)
"Okay, quiet. We're rolling.","00:02:45,954 --> 00:02:48,070","సరే, నిశ్శబ్దం. మేము రోలింగ్ చేస్తున్నాము."
Seeing her coming out of the darkness like a ghost ship...,"00:02:48,154 --> 00:02:51,829",ఆమె బయటకు రావడం చూసి దెయ్యం ఓడ లాంటి చీకటిలో...
..still gets me every time.,"00:02:51,914 --> 00:02:53,632",.. ఇప్పటికీ ప్రతిసారీ నన్ను పొందుతుంది.
To see the sad ruin of the great ship sitting here...,"00:02:53,714 --> 00:02:58,310",విచారకరమైన వినాశనాన్ని చూడటానికి ఇక్కడ కూర్చున్న గొప్ప ఓడ...
"..where she landed at 2:30 in the morning of April 15, 1912,...","00:02:58,394 --> 00:03:03,832",".. 2:30కి ఆమె దిగింది ఏప్రిల్ 15, 1912 ఉదయం..."
..after her long fall...,"00:03:03,874 --> 00:03:05,990",..ఆమె సుదీర్ఘ పతనం తర్వాత...
..from the world above.,"00:03:06,994 --> 00:03:08,985",..పై ప్రపంచం నుండి.
"You are so full of shit, boss!","00:03:09,714 --> 00:03:11,750",నువ్వు చాలా ఒంటి నిండా ఉన్నావు బాస్!
(Sonar pinging),"00:03:15,154 --> 00:03:17,145",(సోనార్ పింగ్)
Dive six - here we are again on the deck of Titanic.,"00:03:39,794 --> 00:03:43,707",డైవ్ సిక్స్ - ఇక్కడ మేము మళ్ళీ ఉన్నాము టైటానిక్ డెక్ మీద.
"2 1/2 miles down, 3,821 meters.","00:03:43,834 --> 00:03:49,670","2 1/2 మైళ్ల దిగువన, 3,821 మీటర్లు."
The pressure outside is 3 1/2 tons per square inch.,"00:03:49,754 --> 00:03:53,030",బయట ఒత్తిడి చదరపు అంగుళానికి 3 1/2 టన్నులు.
These windows are nine inches thick.,"00:03:53,114 --> 00:03:55,423",ఈ కిటికీలు తొమ్మిది అంగుళాల మందంతో ఉంటాయి.
"If they go, it's sayonara in two microseconds.","00:03:55,514 --> 00:03:59,348","వారు వెళితే, ఇది రెండు మైక్రోసెకన్లలో సయోనారా."
All right. Enough of that bullshit.,"00:03:59,434 --> 00:04:02,028",అయితే సరే. ఆ బుల్ షిట్ చాలు.
Put her down on the roof of the officers' quarters.,"00:04:15,194 --> 00:04:18,425",ఆమెను పైకప్పుపైకి దింపండి అధికారుల నివాసాలు.
Sure.,"00:04:18,594 --> 00:04:19,709",తప్పకుండా.
"<i>Okay, Mir 2.</i>",,
<i>We've landed on the grand staircase.</i> <i>You guys set to launch?</i>,,
"Yeah. Launching Dunkin now. Go, Charlie.","00:04:25,434 --> 00:04:27,994","అవును. ఇప్పుడు డంకిన్‌ని ప్రారంభిస్తోంది. వెళ్ళు, చార్లీ."
- Tether out. - Tether out.,"00:04:35,514 --> 00:04:37,823",- టెథర్ అవుట్. - టెథర్ అవుట్.
"Okay, Brock, we're dropping down along the hull.","00:04:37,914 --> 00:04:41,907","సరే, బ్రాక్, మేము పొట్టు వెంట పడిపోతున్నాము."
"Roger that. Okay, drop down and go into the first-class gangway door.","00:04:43,034 --> 00:04:47,550","రోజర్ అది. సరే, డ్రాప్ డౌన్ చేసి వెళ్లు ఫస్ట్-క్లాస్ గ్యాంగ్‌వే డోర్‌లోకి."
"I want you guys working the ""D"" deck, reception and the dining saloon.","00:04:47,634 --> 00:04:51,593","మీరు ""D"" డెక్‌లో పని చేయాలనుకుంటున్నారు, రిసెప్షన్ మరియు డైనింగ్ సెలూన్."
Copy that.,"00:04:51,674 --> 00:04:53,505",నకలు చెయ్యి.
- Now left. - I'm coming left.,"00:05:01,194 --> 00:05:03,230",- ఇప్పుడు మిగిలిపోయింది. - నేను ఎడమవైపు వస్తున్నాను.
Brock: <i>Snoop Dog is on the move.</i>,,
<i>We're headed down the stairwell.</i>,,
"Okay, Lewis. Drop down to ""B"" deck.","00:05:17,234 --> 00:05:19,304","సరే, లూయిస్. ""B"" డెక్‌కి డ్రాప్ డౌన్ చేయండి."
"Okay. ""A"" deck.","00:05:19,394 --> 00:05:20,622","సరే. ""A"" డెక్."
"Lewis: Give me some rope, Captain.","00:05:20,714 --> 00:05:22,705","లూయిస్: నాకు కొంచెం తాడు ఇవ్వండి, కెప్టెన్."
"""B"" deck. Get in there.","00:05:22,794 --> 00:05:23,783","""B"" డెక్. అక్కడ చేరండి."
Brock: Watch the doorframe.,"00:06:00,474 --> 00:06:02,704",బ్రాక్: డోర్‌ఫ్రేమ్‌ను చూడండి.
I see it. I got it.,"00:06:02,794 --> 00:06:04,512",అది నేను చూసా. నాకు అది అర్థమైంది.
