Timeline,en_dialogue,bengali_dialogue
"00:00:29,064 --> 00:00:32,801",- (suspenseful music playing) - (rain pattering),- (আশঙ্কাপূর্ণ গান বাজানো) - (বৃষ্টির আড্ডা)
"00:00:44,179 --> 00:00:46,347",(violent whooshing),(হিংসাত্মক হুশিং)
"00:00:52,154 --> 00:00:54,589",(erupting),(বিস্ফোরণ)
"00:00:55,756 --> 00:00:58,426",(disembodied rhythmic stomping),(বিচ্ছিন্ন ছন্দময় স্টোম্পিং)
"00:00:58,459 --> 00:01:00,494",(music intensifying),(সঙ্গীতের তীব্রতা)
"00:01:02,998 --> 00:01:05,533",(stomping intensifying),(দমকা তীব্র হচ্ছে)
"00:01:14,442 --> 00:01:16,178",- (stomping stops) - (exhales),- (থেমে যায়) - (নিঃশ্বাস ছেড়ে)
"00:01:16,211 --> 00:01:18,446",(pensive music playing),(মননশীল সঙ্গীত বাজানো)
"00:01:18,479 --> 00:01:20,514",GORDON GRAY: Dr. Oppenheimer.,গর্ডন গ্রে: ডঃ ওপেনহাইমার।
"00:01:21,515 --> 00:01:22,717",Dr. Oppenheimer.,ডঃ ওপেনহাইমার।
"00:01:24,052 --> 00:01:25,653","As we begin, I believe you have","আমরা শুরু হিসাবে, আমি বিশ্বাস করি আপনি আছে"
"00:01:25,686 --> 00:01:27,688",a statement to read into the record.,পড়ার জন্য একটি বিবৃতি রেকর্ডে
"00:01:29,523 --> 00:01:30,725","Yes, Your Honor.","হ্যাঁ, ইয়োর অনার।"
"00:01:30,758 --> 00:01:32,861","WARD EVANS: We're not judges, Doctor.","ওয়ার্ড ইভান্স: আমরা আছি বিচারক নয়, ডাক্তার।"
"00:01:32,895 --> 00:01:33,929",ROBERT: No.,রবার্ট: না।
"00:01:35,030 --> 00:01:36,430",Of course.,অবশ্যই.
"00:01:41,636 --> 00:01:44,572","Members of the security board,","নিরাপত্তা বোর্ডের সদস্যরা,"
"00:01:44,605 --> 00:01:46,909",the so-called derogatory information,তথাকথিত অবমাননাকর তথ্য
"00:01:46,942 --> 00:01:49,845","in your indictment of me cannot be fairly understood,","আমার বিরুদ্ধে আপনার অভিযোগে ঠিক বোঝা যায় না,"
"00:01:49,878 --> 00:01:53,714",except in the context of my life and my work.,প্রসঙ্গে ছাড়া আমার জীবন এবং আমার কাজ।
"00:01:54,682 --> 00:01:56,919",SENATE AIDE: How long did he testify?,সেনেট সহকারী: কিভাবে তিনি দীর্ঘ সাক্ষ্য দিয়েছেন?
"00:01:56,952 --> 00:01:58,686","Honestly, I forget.","সত্যি বলছি, ভুলে গেছি।"
"00:02:00,088 --> 00:02:02,057",The whole hearing took a month.,পুরো শুনানিতে এক মাস সময় লেগেছে।
"00:02:02,090 --> 00:02:03,524","An ordeal, hmm?","একটি অগ্নিপরীক্ষা, হুম?"
"00:02:03,557 --> 00:02:05,227","Well, I've only read the transcripts.","আচ্ছা, আমি শুধু পড়েছি প্রতিলিপি"
"00:02:05,260 --> 00:02:06,727",(clears throat),(পরিষ্কার গলা)
"00:02:07,795 --> 00:02:09,530",Who'd want to justify their whole life?,কে ন্যায্যতা দিতে চাই তাদের সারা জীবন?
"00:02:09,563 --> 00:02:10,798",You weren't there?,তুমি ছিলে না?
"00:02:10,832 --> 00:02:13,135","As chairman, I wasn't allowed to be.",চেয়ারম্যান হিসেবে আই হতে দেওয়া হয়নি।
